date,city,transaction_value,id
2011-01-01,Beirut,179.672,1
2011-01-01,Bekaa,18.988,289
2011-01-01,Mount Lebanon North,161.318,145
2011-01-01,Mount Lebanon South,504.279,73
2011-01-01,North,69.738,217
2011-02-01,Beirut,502.338,2
2011-02-01,Bekaa,15.206,290
2011-02-01,Mount Lebanon North,222.79,146
2011-02-01,Mount Lebanon South,686.253,74
2011-02-01,North,60.098,218
2011-03-01,Beirut,220.017,3
2011-03-01,Bekaa,38.896,291
2011-03-01,Mount Lebanon North,238.138,147
2011-03-01,Mount Lebanon South,642.633,75
2011-03-01,North,64.69,219
2011-04-01,Beirut,244.857,4
2011-04-01,Bekaa,32.465,292
2011-04-01,Mount Lebanon North,219.576,148
2011-04-01,Mount Lebanon South,687.948,76
2011-04-01,North,69.726,220
2011-05-01,Beirut,400.56,5
2011-05-01,Bekaa,37.688,293
2011-05-01,Mount Lebanon North,244.25,149
2011-05-01,Mount Lebanon South,655.425,77
2011-05-01,North,77.392,221
2011-06-01,Beirut,340.065,6
2011-06-01,Bekaa,35.716,294
2011-06-01,Mount Lebanon North,241.85,150
2011-06-01,Mount Lebanon South,607.203,78
2011-06-01,North,64.536,222
2011-07-01,Beirut,312.436,7
2011-07-01,Bekaa,36.784,295
2011-07-01,Mount Lebanon North,226.064,151
2011-07-01,Mount Lebanon South,686.106,79
2011-07-01,North,68.766,223
2011-08-01,Beirut,280.342,8
2011-08-01,Bekaa,35.262,296
2011-08-01,Mount Lebanon North,273.892,152
2011-08-01,Mount Lebanon South,655.719,80
2011-08-01,North,75.194,224
2011-09-01,Beirut,373.544,9
2011-09-01,Bekaa,33.596,297
2011-09-01,Mount Lebanon North,266.638,153
2011-09-01,Mount Lebanon South,712.5269999999999,81
2011-09-01,North,71.548,225
2011-10-01,Beirut,304.316,10
2011-10-01,Bekaa,43.517,298
2011-10-01,Mount Lebanon North,286.224,154
2011-10-01,Mount Lebanon South,858.117,82
2011-10-01,North,80.846,226
2011-11-01,Beirut,23.992,11
2011-11-01,Bekaa,37.012,299
2011-11-01,Mount Lebanon North,229.354,155
2011-11-01,Mount Lebanon South,697.479,83
2011-11-01,North,66.194,227
2011-12-01,Beirut,599.198,12
2011-12-01,Bekaa,42.374,300
2011-12-01,Mount Lebanon North,364.108,156
2011-12-01,Mount Lebanon South,1317.6390000000001,84
2011-12-01,North,84.466,228
2012-01-01,Beirut,208.727,13
2012-01-01,Bekaa,33.419,301
2012-01-01,Mount Lebanon North,219.704,157
2012-01-01,Mount Lebanon South,644.496,85
2012-01-01,North,69.14,229
2012-02-01,Beirut,284.376,14
2012-02-01,Bekaa,22.855,302
2012-02-01,Mount Lebanon North,190.292,158
2012-02-01,Mount Lebanon South,618.549,86
2012-02-01,North,53.458,230
2012-03-01,Beirut,371.756,15
2012-03-01,Bekaa,32.547,303
2012-03-01,Mount Lebanon North,263.64,159
2012-03-01,Mount Lebanon South,717.048,87
2012-03-01,North,86.09,231
2012-04-01,Beirut,239.474,16
2012-04-01,Bekaa,36.864,304
2012-04-01,Mount Lebanon North,202.494,160
2012-04-01,Mount Lebanon South,719.8499999999999,88
2012-04-01,North,68.434,232
2012-05-01,Beirut,394.861,17
2012-05-01,Bekaa,39.682,305
2012-05-01,Mount Lebanon North,252.304,161
2012-05-01,Mount Lebanon South,665.9010000000001,89
2012-05-01,North,74.432,233
2012-06-01,Beirut,447.222,18
2012-06-01,Bekaa,40.714,306
2012-06-01,Mount Lebanon North,284.336,162
2012-06-01,Mount Lebanon South,713.397,90
2012-06-01,North,74.4,234
2012-07-01,Beirut,247.481,19
2012-07-01,Bekaa,36.105,307
2012-07-01,Mount Lebanon North,248.524,163
2012-07-01,Mount Lebanon South,721.173,91
2012-07-01,North,66.09,235
