id,district,type,bedrooms,bathrooms,created_at,size_m2,price_$,latitude,longitude
1,Beirut,Apartment,3,4,2025-03-16 14:41:21.410772+00,315,1100000,33.8886,35.4955
2,El Metn,Apartment,3,4,2025-03-16 14:41:21.586763+00,255,350000,33.9006,35.6178
3,Kesrouane,Apartment,2,2,2025-03-16 14:41:21.799726+00,110,250000,33.9808,35.6856
4,Jbeil,Apartment,2,4,2025-03-16 14:41:21.997162+00,125,135000,34.1236,35.6455
5,Beirut,Apartment,3,4,2025-03-16 14:47:15.605562+00,315,1100000,33.8886,35.4955
6,El Metn,Apartment,3,4,2025-03-16 14:47:15.700278+00,255,350000,33.9006,35.6178
7,Kesrouane,Apartment,2,2,2025-03-16 14:47:15.886348+00,110,250000,33.9808,35.6856
8,Jbeil,Apartment,2,4,2025-03-16 14:47:16.044918+00,125,135000,34.1236,35.6455
9,Jbeil,Land,0,0,2025-03-16 14:47:16.242025+00,825,140000,34.1236,35.6455
10,Batroun,House/Villa,0,0,2025-03-16 14:47:16.532353+00,230,350000,34.2556,35.6586
11,Baabda,Apartment,2,2,2025-03-16 14:47:16.634802+00,180,295000,33.8333,35.5442
12,El Metn,Land,0,0,2025-03-16 14:47:16.734447+00,1612,645000,33.9006,35.6178
13,El Metn,Land,0,0,2025-03-16 14:47:16.884862+00,1536,690000,33.9006,35.6178
15,Jbeil,Land,0,0,2025-03-16 14:47:17.127587+00,1200,110000,34.1236,35.6455
16,Kesrouane,Land,0,0,2025-03-16 14:47:17.22806+00,986,2500000,33.9808,35.6856
17,El Metn,Apartment,3,3,2025-03-16 14:47:17.337684+00,200,230000,33.9006,35.6178
18,El Metn,Apartment,3,3,2025-03-16 14:47:17.435228+00,135,169000,33.9006,35.6178
19,El Metn,Apartment,2,2,2025-03-16 14:47:17.564235+00,100,108000,33.9006,35.6178
20,Kesrouane,Chalet,1,1,2025-03-16 14:47:17.662901+00,70,550000,33.9808,35.6856
21,Kesrouane,Apartment,5,3,2025-03-16 14:47:17.75971+00,400,340000,33.9808,35.6856
22,Kesrouane,Land,0,0,2025-03-16 14:47:17.897032+00,3616,1000000,33.9808,35.6856
23,Beirut,Apartment,1,2,2025-03-16 14:47:17.999125+00,80,320000,33.8886,35.4955
25,Batroun,Apartment,3,2,2025-03-16 14:47:18.175738+00,185,140000,34.2556,35.6586
26,El Metn,Office,3,0,2025-03-16 14:47:18.337962+00,127,450000,33.9006,35.6178
27,Beirut,Apartment,3,2,2025-03-16 14:47:18.429409+00,200,300000,33.8886,35.4955
28,Jbeil,Apartment,3,3,2025-03-16 14:47:18.523912+00,176,175000,34.1236,35.6455
29,Jbeil,Apartment,2,3,2025-03-16 14:47:18.626609+00,145,195000,34.1236,35.6455
30,Jbeil,Apartment,3,2,2025-03-16 14:47:18.717837+00,200,270000,34.1236,35.6455
31,Baabda,Apartment,3,3,2025-03-16 14:47:18.811049+00,184,260000,33.8333,35.5442
32,El Metn,Apartment,3,3,2025-03-16 14:47:18.907923+00,165,260000,33.9006,35.6178
33,Kesrouane,Apartment,4,5,2025-03-16 14:47:19.003108+00,360,500000,33.9808,35.6856
34,Jbeil,Apartment,3,4,2025-03-16 14:47:19.10135+00,180,220000,34.1236,35.6455
35,Jbeil,Apartment,3,4,2025-03-16 14:47:19.190326+00,180,245000,34.1236,35.6455
36,Jbeil,Apartment,3,4,2025-03-16 14:47:19.29897+00,200,245000,34.1236,35.6455
37,Kesrouane,Apartment,4,3,2025-03-16 14:47:19.421514+00,205,275000,33.9808,35.6856
38,Jbeil,Apartment,3,3,2025-03-16 14:47:19.51676+00,115,90000,34.1236,35.6455
39,El Metn,Land,0,0,2025-03-16 14:47:19.606383+00,1400,770000,33.9006,35.6178
40,Kesrouane,Apartment,2,2,2025-03-16 14:47:19.698285+00,155,400000,33.9808,35.6856
41,El Metn,Apartment,2,2,2025-03-16 14:47:19.787349+00,120,200000,33.9006,35.6178
42,El Metn,Apartment,3,2,2025-03-16 14:47:19.877052+00,170,140000,33.9006,35.6178
43,Jbeil,House/Villa,4,4,2025-03-16 14:47:19.985246+00,450,900000,34.1236,35.6455
44,Jbeil,Land,0,0,2025-03-16 14:47:20.08877+00,3300,900000,34.1236,35.6455
45,Batroun,Land,0,0,2025-03-16 14:47:20.184407+00,919,250000,34.2556,35.6586
46,Kesrouane,Chalet,1,0,2025-03-16 14:47:20.289708+00,37,125000,33.9808,35.6856
47,Baabda,Office,1,0,2025-03-16 14:47:20.387418+00,50,100000,33.8333,35.5442
48,Baabda,Warehouse,2,0,2025-03-16 14:47:20.493135+00,200,230000,33.8333,35.5442
49,El Metn,Apartment,2,2,2025-03-16 14:47:20.592175+00,140,187000,33.9006,35.6178
50,Jbeil,Land,0,0,2025-03-16 14:47:20.68559+00,1200,250000,34.1236,35.6455
51,Kesrouane,Apartment,3,4,2025-03-16 14:47:20.776164+00,180,185000,33.9808,35.6856
52,Jbeil,Land,0,0,2025-03-16 14:47:20.868009+00,2504,3000000,34.1236,35.6455
53,Jbeil,Shop,2,0,2025-03-16 14:47:20.955332+00,40,65000,34.1236,35.6455
54,Jbeil,Shop,1,0,2025-03-16 14:47:21.045475+00,75,120000,34.1236,35.6455
55,El Metn,Apartment,3,4,2025-03-16 14:47:21.134523+00,240,270000,33.9006,35.6178
57,Kesrouane,Land,0,0,2025-03-16 14:47:21.32126+00,2100,450000,33.9808,35.6856
58,Beirut,Apartment,3,4,2025-03-16 14:47:21.414289+00,280,1050000,33.8886,35.4955
59,Jbeil,Apartment,3,3,2025-03-16 14:47:21.537527+00,140,140000,34.1236,35.6455
60,Batroun,Land,0,0,2025-03-16 14:47:21.625534+00,4700,1400000,34.2556,35.6586
61,Batroun,Land,0,0,2025-03-16 14:47:21.725654+00,1063,320000,34.2556,35.6586
62,Kesrouane,Apartment,3,2,2025-03-16 14:47:21.830833+00,200,170000,33.9808,35.6856
63,El Metn,Apartment,2,2,2025-03-16 14:47:21.927727+00,115,160000,33.9006,35.6178
64,Jbeil,Apartment,3,3,2025-03-16 14:47:22.030547+00,200,345000,34.1236,35.6455
65,Kesrouane,Chalet,2,2,2025-03-16 14:47:22.125434+00,90,195000,33.9808,35.6856
66,El Metn,Warehouse,1,0,2025-03-16 14:47:22.214169+00,1100,500000,33.9006,35.6178
67,Jbeil,Land,0,0,2025-03-16 14:47:22.311513+00,8111,570000,34.1236,35.6455
68,Baabda,Apartment,3,3,2025-03-16 14:47:22.44771+00,300,325000,33.8333,35.5442
69,Kesrouane,Land,0,0,2025-03-16 14:47:22.643034+00,440,250000,33.9808,35.6856
70,El Metn,Apartment,3,3,2025-03-16 14:47:22.734092+00,200,450000,33.9006,35.6178
71,Jbeil,Apartment,3,3,2025-03-16 14:47:22.990719+00,200,100000,34.1236,35.6455
72,Kesrouane,Apartment,2,2,2025-03-16 14:47:23.171649+00,130,150000,33.9808,35.6856
73,Jbeil,Apartment,2,2,2025-03-16 14:47:23.265199+00,125,125000,34.1236,35.6455
74,Beirut,Apartment,2,2,2025-03-16 14:47:23.446701+00,200,400000,33.8886,35.4955
75,El Metn,Apartment,3,3,2025-03-16 14:47:23.537553+00,200,350000,33.9006,35.6178
76,Kesrouane,Apartment,4,3,2025-03-16 14:47:23.638691+00,250,400000,33.9808,35.6856
77,Kesrouane,House/Villa,3,3,2025-03-16 14:47:23.76538+00,200,325000,33.9808,35.6856
78,El Metn,Apartment,3,3,2025-03-16 14:47:23.933809+00,190,370000,33.9006,35.6178
79,El Metn,Apartment,3,3,2025-03-16 14:47:24.047458+00,200,310000,33.9006,35.6178
80,Jbeil,Apartment,2,2,2025-03-16 14:47:24.228109+00,111,110000,34.1236,35.6455
81,Jbeil,Land,0,0,2025-03-16 14:47:24.354848+00,1167,130000,34.1236,35.6455
82,Kesrouane,Warehouse,1,0,2025-03-16 14:47:24.456375+00,170,165000,33.9808,35.6856
83,El Metn,Apartment,3,3,2025-03-16 14:47:24.796504+00,145,230000,33.9006,35.6178
84,Beirut,Apartment,3,3,2025-03-16 14:47:25.081414+00,400,1250000,33.8886,35.4955
85,Baabda,Apartment,3,4,2025-03-16 14:47:25.356255+00,255,295000,33.8333,35.5442
86,Kesrouane,Land,0,0,2025-03-16 14:47:25.452341+00,1445,1100000,33.9808,35.6856
