Date,Transaction_Number,City
Jan-11,469,Beirut
Feb-11,422,Beirut
Mar-11,523,Beirut
Apr-11,540,Beirut
May-11,592,Beirut
Jun-11,611,Beirut
Jul-11,516,Beirut
Aug-11,559,Beirut
Sep-11,533,Beirut
Oct-11,717,Beirut
Nov-11,925,Beirut
Dec-11,1117,Beirut
Jan-12,409,Beirut
Feb-12,431,Beirut
Mar-12,542,Beirut
Apr-12,501,Beirut
May-12,557,Beirut
Jun-12,533,Beirut
Jul-12,469,Beirut
Aug-12,513,Beirut
Sep-12,553,Beirut
Oct-12,507,Beirut
Nov-12,570,Beirut
Dec-12,916,Beirut
Jan-13,364,Beirut
Feb-13,333,Beirut
Mar-13,299,Beirut
Apr-13,560,Beirut
May-13,515,Beirut
Jun-13,553,Beirut
Jul-13,533,Beirut
Aug-13,400,Beirut
Sep-13,471,Beirut
Oct-13,558,Beirut
Nov-13,547,Beirut
Dec-13,921,Beirut
Jan-14,395,Beirut
Feb-14,452,Beirut
Mar-14,529,Beirut
Apr-14,538,Beirut
May-14,521,Beirut
Jun-14,490,Beirut
Jul-14,441,Beirut
Aug-14,447,Beirut
Sep-14,530,Beirut
Oct-14,458,Beirut
Nov-14,449,Beirut
Dec-14,673,Beirut
Jan-15,254,Beirut
Feb-15,305,Beirut
Mar-15,416,Beirut
Apr-15,375,Beirut
May-15,414,Beirut
Jun-15,500,Beirut
Jul-15,395,Beirut
Aug-15,392,Beirut
Sep-15,418,Beirut
Oct-15,404,Beirut
Nov-15,446,Beirut
Dec-15,741,Beirut
Jan-16,303,Beirut
Feb-16,442,Beirut
Mar-16,405,Beirut
Apr-16,470,Beirut
May-16,400,Beirut
Jun-16,474,Beirut
Jul-16,378,Beirut
Aug-16,476,Beirut
Sep-16,417,Beirut
Oct-16,408,Beirut
Nov-16,507,Beirut
Dec-16,700,Beirut
Jan-11,1523,"Baabda, Aley, Chouf"
Feb-11,1446,"Baabda, Aley, Chouf"
Mar-11,1865,"Baabda, Aley, Chouf"
Apr-11,1694,"Baabda, Aley, Chouf"
May-11,1759,"Baabda, Aley, Chouf"
Jun-11,1770,"Baabda, Aley, Chouf"
Jul-11,1845,"Baabda, Aley, Chouf"
Aug-11,1656,"Baabda, Aley, Chouf"
Sep-11,1769,"Baabda, Aley, Chouf"
Oct-11,2131,"Baabda, Aley, Chouf"
Nov-11,1863,"Baabda, Aley, Chouf"
Dec-11,2457,"Baabda, Aley, Chouf"
Jan-12,1415,"Baabda, Aley, Chouf"
Feb-12,1490,"Baabda, Aley, Chouf"
Mar-12,1721,"Baabda, Aley, Chouf"
Apr-12,1416,"Baabda, Aley, Chouf"
May-12,1731,"Baabda, Aley, Chouf"
Jun-12,1599,"Baabda, Aley, Chouf"
Jul-12,1587,"Baabda, Aley, Chouf"
Aug-12,1574,"Baabda, Aley, Chouf"
Sep-12,1633,"Baabda, Aley, Chouf"
Oct-12,1712,"Baabda, Aley, Chouf"
Nov-12,1865,"Baabda, Aley, Chouf"
Dec-12,2506,"Baabda, Aley, Chouf"
Jan-13,1073,"Baabda, Aley, Chouf"
Feb-13,908,"Baabda, Aley, Chouf"
Mar-13,1292,"Baabda, Aley, Chouf"
Apr-13,1714,"Baabda, Aley, Chouf"
May-13,204,"Baabda, Aley, Chouf"
Jun-13,1517,"Baabda, Aley, Chouf"
Jul-13,1600,"Baabda, Aley, Chouf"
Aug-13,1384,"Baabda, Aley, Chouf"
Sep-13,1494,"Baabda, Aley, Chouf"
Oct-13,1456,"Baabda, Aley, Chouf"
Nov-13,1632,"Baabda, Aley, Chouf"
Dec-13,2039,"Baabda, Aley, Chouf"
Jan-14,1232,"Baabda, Aley, Chouf"
Feb-14,1358,"Baabda, Aley, Chouf"
Mar-14,1390,"Baabda, Aley, Chouf"
Apr-14,1667,"Baabda, Aley, Chouf"
May-14,1732,"Baabda, Aley, Chouf"
Jun-14,1356,"Baabda, Aley, Chouf"
Jul-14,129,"Baabda, Aley, Chouf"
Aug-14,1492,"Baabda, Aley, Chouf"
Sep-14,1574,"Baabda, Aley, Chouf"
Oct-14,1611,"Baabda, Aley, Chouf"
Nov-14,1330,"Baabda, Aley, Chouf"
Dec-14,1795,"Baabda, Aley, Chouf"
Jan-15,894,"Baabda, Aley, Chouf"
Feb-15,882,"Baabda, Aley, Chouf"
Mar-15,1385,"Baabda, Aley, Chouf"
Apr-15,1161,"Baabda, Aley, Chouf"
May-15,1256,"Baabda, Aley, Chouf"
Jun-15,1318,"Baabda, Aley, Chouf"
Jul-15,1330,"Baabda, Aley, Chouf"
Aug-15,1401,"Baabda, Aley, Chouf"
Sep-15,1336,"Baabda, Aley, Chouf"
Oct-15,1371,"Baabda, Aley, Chouf"
Nov-15,1258,"Baabda, Aley, Chouf"
Dec-15,1646,"Baabda, Aley, Chouf"
Jan-16,1041,"Baabda, Aley, Chouf"
Feb-16,1213,"Baabda, Aley, Chouf"
Mar-16,1440,"Baabda, Aley, Chouf"
Apr-16,1358,"Baabda, Aley, Chouf"
May-16,1166,"Baabda, Aley, Chouf"
Jun-16,1276,"Baabda, Aley, Chouf"
Jul-16,1140,"Baabda, Aley, Chouf"
Aug-16,1340,"Baabda, Aley, Chouf"
Sep-16,1259,"Baabda, Aley, Chouf"
Oct-16,1415,"Baabda, Aley, Chouf"
Nov-16,1506,"Baabda, Aley, Chouf"
Dec-16,1539,"Baabda, Aley, Chouf"
Jan-11,731,"Kesrouan, Jbeil"
Feb-11,704,"Kesrouan, Jbeil"
Mar-11,964,"Kesrouan, Jbeil"
Apr-11,886,"Kesrouan, Jbeil"
May-11,921,"Kesrouan, Jbeil"
Jun-11,913,"Kesrouan, Jbeil"
Jul-11,779,"Kesrouan, Jbeil"
Aug-11,993,"Kesrouan, Jbeil"
Sep-11,1024,"Kesrouan, Jbeil"
Oct-11,1111,"Kesrouan, Jbeil"
Nov-11,950,"Kesrouan, Jbeil"
Dec-11,1272,"Kesrouan, Jbeil"
Jan-12,689,"Kesrouan, Jbeil"
Feb-12,654,"Kesrouan, Jbeil"
Mar-12,823,"Kesrouan, Jbeil"
Apr-12,618,"Kesrouan, Jbeil"
May-12,793,"Kesrouan, Jbeil"
Jun-12,785,"Kesrouan, Jbeil"
Jul-12,818,"Kesrouan, Jbeil"
Aug-12,807,"Kesrouan, Jbeil"
Sep-12,792,"Kesrouan, Jbeil"
Oct-12,840,"Kesrouan, Jbeil"
Nov-12,777,"Kesrouan, Jbeil"
Dec-12,1036,"Kesrouan, Jbeil"
Jan-13,654,"Kesrouan, Jbeil"
Feb-13,542,"Kesrouan, Jbeil"
Mar-13,692,"Kesrouan, Jbeil"
Apr-13,825,"Kesrouan, Jbeil"
May-13,766,"Kesrouan, Jbeil"
Jun-13,820,"Kesrouan, Jbeil"
Jul-13,861,"Kesrouan, Jbeil"
Aug-13,772,"Kesrouan, Jbeil"
Sep-13,736,"Kesrouan, Jbeil"
Oct-13,790,"Kesrouan, Jbeil"
Nov-13,810,"Kesrouan, Jbeil"
Dec-13,849,"Kesrouan, Jbeil"
Jan-14,718,"Kesrouan, Jbeil"
Feb-14,703,"Kesrouan, Jbeil"
