Date,Transaction_Number,City
01/2011,1523,"Baabda, Aley, Chouf"
02/2011,1446,"Baabda, Aley, Chouf"
03/2011,1865,"Baabda, Aley, Chouf"
04/2011,1694,"Baabda, Aley, Chouf"
05/2011,1759,"Baabda, Aley, Chouf"
06/2011,1770,"Baabda, Aley, Chouf"
07/2011,1845,"Baabda, Aley, Chouf"
08/2011,1656,"Baabda, Aley, Chouf"
09/2011,1769,"Baabda, Aley, Chouf"
10/2011,2131,"Baabda, Aley, Chouf"
11/2011,1863,"Baabda, Aley, Chouf"
12/2011,2457,"Baabda, Aley, Chouf"
01/2012,1415,"Baabda, Aley, Chouf"
02/2012,1490,"Baabda, Aley, Chouf"
03/2012,1721,"Baabda, Aley, Chouf"
04/2012,1416,"Baabda, Aley, Chouf"
05/2012,1731,"Baabda, Aley, Chouf"
06/2012,1599,"Baabda, Aley, Chouf"
07/2012,1587,"Baabda, Aley, Chouf"
08/2012,1574,"Baabda, Aley, Chouf"
09/2012,1633,"Baabda, Aley, Chouf"
10/2012,1712,"Baabda, Aley, Chouf"
11/2012,1865,"Baabda, Aley, Chouf"
12/2012,2506,"Baabda, Aley, Chouf"
01/2013,1073,"Baabda, Aley, Chouf"
02/2013,908,"Baabda, Aley, Chouf"
03/2013,1292,"Baabda, Aley, Chouf"
04/2013,1714,"Baabda, Aley, Chouf"
05/2013,204,"Baabda, Aley, Chouf"
06/2013,1517,"Baabda, Aley, Chouf"
07/2013,1600,"Baabda, Aley, Chouf"
08/2013,1384,"Baabda, Aley, Chouf"
09/2013,1494,"Baabda, Aley, Chouf"
10/2013,1456,"Baabda, Aley, Chouf"
11/2013,1632,"Baabda, Aley, Chouf"
12/2013,2039,"Baabda, Aley, Chouf"
01/2014,1232,"Baabda, Aley, Chouf"
02/2014,1358,"Baabda, Aley, Chouf"
03/2014,1390,"Baabda, Aley, Chouf"
04/2014,1667,"Baabda, Aley, Chouf"
05/2014,1732,"Baabda, Aley, Chouf"
06/2014,1356,"Baabda, Aley, Chouf"
07/2014,129,"Baabda, Aley, Chouf"
08/2014,1492,"Baabda, Aley, Chouf"
09/2014,1574,"Baabda, Aley, Chouf"
10/2014,1611,"Baabda, Aley, Chouf"
11/2014,1330,"Baabda, Aley, Chouf"
12/2014,1795,"Baabda, Aley, Chouf"
01/2015,894,"Baabda, Aley, Chouf"
02/2015,882,"Baabda, Aley, Chouf"
03/2015,1385,"Baabda, Aley, Chouf"
04/2015,1161,"Baabda, Aley, Chouf"
05/2015,1256,"Baabda, Aley, Chouf"
06/2015,1318,"Baabda, Aley, Chouf"
07/2015,1330,"Baabda, Aley, Chouf"
08/2015,1401,"Baabda, Aley, Chouf"
09/2015,1336,"Baabda, Aley, Chouf"
10/2015,1371,"Baabda, Aley, Chouf"
11/2015,1258,"Baabda, Aley, Chouf"
12/2015,1646,"Baabda, Aley, Chouf"
01/2016,1041,"Baabda, Aley, Chouf"
02/2016,1213,"Baabda, Aley, Chouf"
03/2016,1440,"Baabda, Aley, Chouf"
04/2016,1358,"Baabda, Aley, Chouf"
05/2016,1166,"Baabda, Aley, Chouf"
06/2016,1276,"Baabda, Aley, Chouf"
07/2016,1140,"Baabda, Aley, Chouf"
08/2016,1340,"Baabda, Aley, Chouf"
09/2016,1259,"Baabda, Aley, Chouf"
10/2016,1415,"Baabda, Aley, Chouf"
11/2016,1506,"Baabda, Aley, Chouf"
12/2016,1539,"Baabda, Aley, Chouf"
