Date,Transaction_Number,City
01/2011,663,"Batroun, Koura, Ehden, Bcharre"
02/2011,557,"Batroun, Koura, Ehden, Bcharre"
03/2011,738,"Batroun, Koura, Ehden, Bcharre"
04/2011,612,"Batroun, Koura, Ehden, Bcharre"
05/2011,664,"Batroun, Koura, Ehden, Bcharre"
06/2011,705,"Batroun, Koura, Ehden, Bcharre"
07/2011,710,"Batroun, Koura, Ehden, Bcharre"
08/2011,711,"Batroun, Koura, Ehden, Bcharre"
09/2011,764,"Batroun, Koura, Ehden, Bcharre"
10/2011,857,"Batroun, Koura, Ehden, Bcharre"
11/2011,696,"Batroun, Koura, Ehden, Bcharre"
12/2011,819,"Batroun, Koura, Ehden, Bcharre"
01/2012,552,"Batroun, Koura, Ehden, Bcharre"
02/2012,483,"Batroun, Koura, Ehden, Bcharre"
03/2012,540,"Batroun, Koura, Ehden, Bcharre"
04/2012,510,"Batroun, Koura, Ehden, Bcharre"
05/2012,498,"Batroun, Koura, Ehden, Bcharre"
06/2012,506,"Batroun, Koura, Ehden, Bcharre"
07/2012,472,"Batroun, Koura, Ehden, Bcharre"
08/2012,513,"Batroun, Koura, Ehden, Bcharre"
09/2012,630,"Batroun, Koura, Ehden, Bcharre"
10/2012,633,"Batroun, Koura, Ehden, Bcharre"
11/2012,606,"Batroun, Koura, Ehden, Bcharre"
12/2012,746,"Batroun, Koura, Ehden, Bcharre"
01/2013,410,"Batroun, Koura, Ehden, Bcharre"
02/2013,398,"Batroun, Koura, Ehden, Bcharre"
03/2013,507,"Batroun, Koura, Ehden, Bcharre"
04/2013,645,"Batroun, Koura, Ehden, Bcharre"
05/2013,520,"Batroun, Koura, Ehden, Bcharre"
06/2013,575,"Batroun, Koura, Ehden, Bcharre"
07/2013,648,"Batroun, Koura, Ehden, Bcharre"
08/2013,899,"Batroun, Koura, Ehden, Bcharre"
09/2013,484,"Batroun, Koura, Ehden, Bcharre"
10/2013,575,"Batroun, Koura, Ehden, Bcharre"
11/2013,586,"Batroun, Koura, Ehden, Bcharre"
12/2013,660,"Batroun, Koura, Ehden, Bcharre"
01/2014,73,"Batroun, Koura, Ehden, Bcharre"
02/2014,544,"Batroun, Koura, Ehden, Bcharre"
03/2014,480,"Batroun, Koura, Ehden, Bcharre"
04/2014,576,"Batroun, Koura, Ehden, Bcharre"
05/2014,621,"Batroun, Koura, Ehden, Bcharre"
06/2014,595,"Batroun, Koura, Ehden, Bcharre"
07/2014,393,"Batroun, Koura, Ehden, Bcharre"
08/2014,600,"Batroun, Koura, Ehden, Bcharre"
09/2014,632,"Batroun, Koura, Ehden, Bcharre"
10/2014,672,"Batroun, Koura, Ehden, Bcharre"
11/2014,592,"Batroun, Koura, Ehden, Bcharre"
12/2014,694,"Batroun, Koura, Ehden, Bcharre"
01/2015,431,"Batroun, Koura, Ehden, Bcharre"
02/2015,469,"Batroun, Koura, Ehden, Bcharre"
03/2015,600,"Batroun, Koura, Ehden, Bcharre"
04/2015,524,"Batroun, Koura, Ehden, Bcharre"
05/2015,527,"Batroun, Koura, Ehden, Bcharre"
06/2015,591,"Batroun, Koura, Ehden, Bcharre"
07/2015,569,"Batroun, Koura, Ehden, Bcharre"
08/2015,629,"Batroun, Koura, Ehden, Bcharre"
09/2015,576,"Batroun, Koura, Ehden, Bcharre"
10/2015,643,"Batroun, Koura, Ehden, Bcharre"
11/2015,563,"Batroun, Koura, Ehden, Bcharre"
12/2015,612,"Batroun, Koura, Ehden, Bcharre"
01/2016,511,"Batroun, Koura, Ehden, Bcharre"
02/2016,564,"Batroun, Koura, Ehden, Bcharre"
03/2016,499,"Batroun, Koura, Ehden, Bcharre"
04/2016,519,"Batroun, Koura, Ehden, Bcharre"
05/2016,457,"Batroun, Koura, Ehden, Bcharre"
06/2016,445,"Batroun, Koura, Ehden, Bcharre"
07/2016,503,"Batroun, Koura, Ehden, Bcharre"
08/2016,582,"Batroun, Koura, Ehden, Bcharre"
09/2016,555,"Batroun, Koura, Ehden, Bcharre"
10/2016,572,"Batroun, Koura, Ehden, Bcharre"
11/2016,604,"Batroun, Koura, Ehden, Bcharre"
12/2016,603,"Batroun, Koura, Ehden, Bcharre"
