Date,Transaction_Number,City
01/2011,469,Beirut
02/2011,422,Beirut
03/2011,523,Beirut
04/2011,540,Beirut
05/2011,592,Beirut
06/2011,611,Beirut
07/2011,516,Beirut
08/2011,559,Beirut
09/2011,533,Beirut
10/2011,717,Beirut
11/2011,925,Beirut
12/2011,1117,Beirut
01/2012,409,Beirut
02/2012,431,Beirut
03/2012,542,Beirut
04/2012,501,Beirut
05/2012,557,Beirut
06/2012,533,Beirut
07/2012,469,Beirut
08/2012,513,Beirut
09/2012,553,Beirut
10/2012,507,Beirut
11/2012,570,Beirut
12/2012,916,Beirut
01/2013,364,Beirut
02/2013,333,Beirut
03/2013,299,Beirut
04/2013,560,Beirut
05/2013,515,Beirut
06/2013,553,Beirut
07/2013,533,Beirut
08/2013,400,Beirut
09/2013,471,Beirut
10/2013,558,Beirut
11/2013,547,Beirut
12/2013,921,Beirut
01/2014,395,Beirut
02/2014,452,Beirut
03/2014,529,Beirut
04/2014,538,Beirut
05/2014,521,Beirut
06/2014,490,Beirut
07/2014,441,Beirut
08/2014,447,Beirut
09/2014,530,Beirut
10/2014,458,Beirut
11/2014,449,Beirut
12/2014,673,Beirut
01/2015,254,Beirut
02/2015,305,Beirut
03/2015,416,Beirut
04/2015,375,Beirut
05/2015,414,Beirut
06/2015,500,Beirut
07/2015,395,Beirut
08/2015,392,Beirut
09/2015,418,Beirut
10/2015,404,Beirut
11/2015,446,Beirut
12/2015,741,Beirut
01/2016,303,Beirut
02/2016,442,Beirut
03/2016,405,Beirut
04/2016,470,Beirut
05/2016,400,Beirut
06/2016,474,Beirut
07/2016,378,Beirut
08/2016,476,Beirut
09/2016,417,Beirut
10/2016,408,Beirut
11/2016,507,Beirut
12/2016,700,Beirut
