Date,Transaction_Number,City
01/2011,539,Bekaa
02/2011,608,Bekaa
03/2011,915,Bekaa
04/2011,704,Bekaa
05/2011,799,Bekaa
06/2011,924,Bekaa
07/2011,762,Bekaa
08/2011,731,Bekaa
09/2011,753,Bekaa
10/2011,839,Bekaa
11/2011,752,Bekaa
12/2011,1066,Bekaa
01/2012,666,Bekaa
02/2012,396,Bekaa
03/2012,591,Bekaa
04/2012,712,Bekaa
05/2012,749,Bekaa
06/2012,674,Bekaa
07/2012,661,Bekaa
08/2012,713,Bekaa
09/2012,825,Bekaa
10/2012,774,Bekaa
11/2012,724,Bekaa
12/2012,948,Bekaa
01/2013,586,Bekaa
02/2013,663,Bekaa
03/2013,670,Bekaa
04/2013,863,Bekaa
05/2013,775,Bekaa
06/2013,722,Bekaa
07/2013,746,Bekaa
08/2013,709,Bekaa
09/2013,892,Bekaa
10/2013,757,Bekaa
11/2013,842,Bekaa
12/2013,742,Bekaa
01/2014,593,Bekaa
02/2014,634,Bekaa
03/2014,691,Bekaa
04/2014,727,Bekaa
05/2014,716,Bekaa
06/2014,663,Bekaa
07/2014,508,Bekaa
08/2014,893,Bekaa
09/2014,936,Bekaa
10/2014,784,Bekaa
11/2014,810,Bekaa
12/2014,145,Bekaa
01/2015,357,Bekaa
02/2015,477,Bekaa
03/2015,762,Bekaa
04/2015,698,Bekaa
05/2015,759,Bekaa
06/2015,756,Bekaa
07/2015,704,Bekaa
08/2015,965,Bekaa
09/2015,803,Bekaa
10/2015,762,Bekaa
11/2015,710,Bekaa
12/2015,962,Bekaa
01/2016,536,Bekaa
02/2016,729,Bekaa
03/2016,784,Bekaa
04/2016,807,Bekaa
05/2016,602,Bekaa
06/2016,636,Bekaa
07/2016,689,Bekaa
08/2016,911,Bekaa
09/2016,800,Bekaa
10/2016,903,Bekaa
11/2016,1030,Bekaa
12/2016,837,Bekaa
