Date,Transaction_Number,City
01/2011,731,"Kesrouan, Jbeil"
02/2011,704,"Kesrouan, Jbeil"
03/2011,964,"Kesrouan, Jbeil"
04/2011,886,"Kesrouan, Jbeil"
05/2011,921,"Kesrouan, Jbeil"
06/2011,913,"Kesrouan, Jbeil"
07/2011,779,"Kesrouan, Jbeil"
08/2011,993,"Kesrouan, Jbeil"
09/2011,1024,"Kesrouan, Jbeil"
10/2011,1111,"Kesrouan, Jbeil"
11/2011,950,"Kesrouan, Jbeil"
12/2011,1272,"Kesrouan, Jbeil"
01/2012,689,"Kesrouan, Jbeil"
02/2012,654,"Kesrouan, Jbeil"
03/2012,823,"Kesrouan, Jbeil"
04/2012,618,"Kesrouan, Jbeil"
05/2012,793,"Kesrouan, Jbeil"
06/2012,785,"Kesrouan, Jbeil"
07/2012,818,"Kesrouan, Jbeil"
08/2012,807,"Kesrouan, Jbeil"
09/2012,792,"Kesrouan, Jbeil"
10/2012,840,"Kesrouan, Jbeil"
11/2012,777,"Kesrouan, Jbeil"
12/2012,1036,"Kesrouan, Jbeil"
01/2013,654,"Kesrouan, Jbeil"
02/2013,542,"Kesrouan, Jbeil"
03/2013,692,"Kesrouan, Jbeil"
04/2013,825,"Kesrouan, Jbeil"
05/2013,766,"Kesrouan, Jbeil"
06/2013,820,"Kesrouan, Jbeil"
07/2013,861,"Kesrouan, Jbeil"
08/2013,772,"Kesrouan, Jbeil"
09/2013,736,"Kesrouan, Jbeil"
10/2013,790,"Kesrouan, Jbeil"
11/2013,810,"Kesrouan, Jbeil"
12/2013,849,"Kesrouan, Jbeil"
01/2014,718,"Kesrouan, Jbeil"
02/2014,703,"Kesrouan, Jbeil"
03/2014,738,"Kesrouan, Jbeil"
04/2014,824,"Kesrouan, Jbeil"
05/2014,741,"Kesrouan, Jbeil"
06/2014,663,"Kesrouan, Jbeil"
07/2014,1141,"Kesrouan, Jbeil"
08/2014,809,"Kesrouan, Jbeil"
09/2014,783,"Kesrouan, Jbeil"
10/2014,849,"Kesrouan, Jbeil"
11/2014,713,"Kesrouan, Jbeil"
12/2014,884,"Kesrouan, Jbeil"
01/2015,481,"Kesrouan, Jbeil"
02/2015,512,"Kesrouan, Jbeil"
03/2015,623,"Kesrouan, Jbeil"
04/2015,625,"Kesrouan, Jbeil"
05/2015,692,"Kesrouan, Jbeil"
06/2015,753,"Kesrouan, Jbeil"
07/2015,665,"Kesrouan, Jbeil"
08/2015,797,"Kesrouan, Jbeil"
09/2015,683,"Kesrouan, Jbeil"
10/2015,773,"Kesrouan, Jbeil"
11/2015,170,"Kesrouan, Jbeil"
12/2015,826,"Kesrouan, Jbeil"
01/2016,579,"Kesrouan, Jbeil"
02/2016,624,"Kesrouan, Jbeil"
03/2016,692,"Kesrouan, Jbeil"
04/2016,593,"Kesrouan, Jbeil"
05/2016,543,"Kesrouan, Jbeil"
06/2016,619,"Kesrouan, Jbeil"
07/2016,606,"Kesrouan, Jbeil"
08/2016,91,"Kesrouan, Jbeil"
09/2016,639,"Kesrouan, Jbeil"
10/2016,748,"Kesrouan, Jbeil"
11/2016,662,"Kesrouan, Jbeil"
12/2016,815,"Kesrouan, Jbeil"
