Date,Transaction_Number,City
01/2011,678,Metn
02/2011,624,Metn
03/2011,850,Metn
04/2011,721,Metn
05/2011,808,Metn
06/2011,876,Metn
07/2011,825,Metn
08/2011,905,Metn
09/2011,1035,Metn
10/2011,1086,Metn
11/2011,966,Metn
12/2011,1259,Metn
01/2012,692,Metn
02/2012,751,Metn
03/2012,832,Metn
04/2012,666,Metn
05/2012,900,Metn
06/2012,872,Metn
07/2012,755,Metn
08/2012,772,Metn
09/2012,868,Metn
10/2012,893,Metn
11/2012,825,Metn
12/2012,1215,Metn
01/2013,588,Metn
02/2013,324,Metn
03/2013,750,Metn
04/2013,914,Metn
05/2013,827,Metn
06/2013,869,Metn
07/2013,917,Metn
08/2013,829,Metn
09/2013,846,Metn
10/2013,875,Metn
11/2013,869,Metn
12/2013,1034,Metn
01/2014,680,Metn
02/2014,694,Metn
03/2014,820,Metn
04/2014,832,Metn
05/2014,811,Metn
06/2014,725,Metn
07/2014,631,Metn
08/2014,755,Metn
09/2014,808,Metn
10/2014,799,Metn
11/2014,733,Metn
12/2014,1085,Metn
01/2015,473,Metn
02/2015,638,Metn
03/2015,742,Metn
04/2015,669,Metn
05/2015,735,Metn
06/2015,819,Metn
07/2015,770,Metn
08/2015,719,Metn
09/2015,697,Metn
10/2015,806,Metn
11/2015,859,Metn
12/2015,964,Metn
01/2016,531,Metn
02/2016,583,Metn
03/2016,704,Metn
04/2016,694,Metn
05/2016,644,Metn
06/2016,745,Metn
07/2016,632,Metn
08/2016,703,Metn
09/2016,670,Metn
10/2016,776,Metn
11/2016,754,Metn
12/2016,913,Metn
