Date,Transaction_Number,City
01/2011,545,Saida
02/2011,558,Saida
03/2011,742,Saida
04/2011,715,Saida
05/2011,799,Saida
06/2011,772,Saida
07/2011,789,Saida
08/2011,767,Saida
09/2011,711,Saida
10/2011,898,Saida
11/2011,744,Saida
12/2011,1170,Saida
01/2012,594,Saida
02/2012,540,Saida
03/2012,749,Saida
04/2012,571,Saida
05/2012,642,Saida
06/2012,704,Saida
07/2012,672,Saida
08/2012,635,Saida
09/2012,762,Saida
10/2012,663,Saida
11/2012,884,Saida
12/2012,1248,Saida
01/2013,483,Saida
02/2013,483,Saida
03/2013,426,Saida
04/2013,718,Saida
05/2013,607,Saida
06/2013,610,Saida
07/2013,667,Saida
08/2013,577,Saida
09/2013,583,Saida
10/2013,690,Saida
11/2013,653,Saida
12/2013,757,Saida
01/2014,607,Saida
02/2014,553,Saida
03/2014,627,Saida
04/2014,566,Saida
05/2014,595,Saida
06/2014,539,Saida
07/2014,699,Saida
08/2014,734,Saida
09/2014,812,Saida
10/2014,753,Saida
11/2014,687,Saida
12/2014,852,Saida
01/2015,404,Saida
02/2015,425,Saida
03/2015,603,Saida
04/2015,556,Saida
05/2015,586,Saida
06/2015,625,Saida
07/2015,536,Saida
08/2015,660,Saida
09/2015,668,Saida
10/2015,701,Saida
11/2015,669,Saida
12/2015,766,Saida
01/2016,493,Saida
02/2016,573,Saida
03/2016,655,Saida
04/2016,608,Saida
05/2016,499,Saida
06/2016,568,Saida
07/2016,596,Saida
08/2016,743,Saida
09/2016,612,Saida
10/2016,685,Saida
11/2016,612,Saida
12/2016,823,Saida
