Date,Transaction_Number,City
01/2011,621,"Tripoli, Akkar"
02/2011,595,"Tripoli, Akkar"
03/2011,739,"Tripoli, Akkar"
04/2011,633,"Tripoli, Akkar"
05/2011,721,"Tripoli, Akkar"
06/2011,666,"Tripoli, Akkar"
07/2011,686,"Tripoli, Akkar"
08/2011,573,"Tripoli, Akkar"
09/2011,683,"Tripoli, Akkar"
10/2011,755,"Tripoli, Akkar"
11/2011,603,"Tripoli, Akkar"
12/2011,968,"Tripoli, Akkar"
01/2012,633,"Tripoli, Akkar"
02/2012,627,"Tripoli, Akkar"
03/2012,630,"Tripoli, Akkar"
04/2012,546,"Tripoli, Akkar"
05/2012,561,"Tripoli, Akkar"
06/2012,556,"Tripoli, Akkar"
07/2012,543,"Tripoli, Akkar"
08/2012,391,"Tripoli, Akkar"
09/2012,653,"Tripoli, Akkar"
10/2012,629,"Tripoli, Akkar"
11/2012,550,"Tripoli, Akkar"
12/2012,674,"Tripoli, Akkar"
01/2013,460,"Tripoli, Akkar"
02/2013,422,"Tripoli, Akkar"
03/2013,492,"Tripoli, Akkar"
04/2013,603,"Tripoli, Akkar"
05/2013,521,"Tripoli, Akkar"
06/2013,490,"Tripoli, Akkar"
07/2013,515,"Tripoli, Akkar"
08/2013,454,"Tripoli, Akkar"
09/2013,550,"Tripoli, Akkar"
10/2013,466,"Tripoli, Akkar"
11/2013,499,"Tripoli, Akkar"
12/2013,561,"Tripoli, Akkar"
01/2014,453,"Tripoli, Akkar"
02/2014,537,"Tripoli, Akkar"
03/2014,497,"Tripoli, Akkar"
04/2014,597,"Tripoli, Akkar"
05/2014,590,"Tripoli, Akkar"
06/2014,548,"Tripoli, Akkar"
07/2014,607,"Tripoli, Akkar"
08/2014,545,"Tripoli, Akkar"
09/2014,590,"Tripoli, Akkar"
10/2014,445,"Tripoli, Akkar"
11/2014,468,"Tripoli, Akkar"
12/2014,556,"Tripoli, Akkar"
01/2015,400,"Tripoli, Akkar"
02/2015,415,"Tripoli, Akkar"
03/2015,509,"Tripoli, Akkar"
04/2015,471,"Tripoli, Akkar"
05/2015,543,"Tripoli, Akkar"
06/2015,519,"Tripoli, Akkar"
07/2015,447,"Tripoli, Akkar"
08/2015,611,"Tripoli, Akkar"
09/2015,384,"Tripoli, Akkar"
10/2015,514,"Tripoli, Akkar"
11/2015,527,"Tripoli, Akkar"
12/2015,555,"Tripoli, Akkar"
01/2016,429,"Tripoli, Akkar"
02/2016,507,"Tripoli, Akkar"
03/2016,520,"Tripoli, Akkar"
04/2016,489,"Tripoli, Akkar"
05/2016,458,"Tripoli, Akkar"
06/2016,475,"Tripoli, Akkar"
07/2016,429,"Tripoli, Akkar"
08/2016,530,"Tripoli, Akkar"
09/2016,461,"Tripoli, Akkar"
10/2016,548,"Tripoli, Akkar"
11/2016,581,"Tripoli, Akkar"
12/2016,586,"Tripoli, Akkar"
