Date,Transaction_Value,City
01/2011,18.988,Bekaa
02/2011,15.206,Bekaa
03/2011,38.896,Bekaa
04/2011,32.465,Bekaa
05/2011,37.688,Bekaa
06/2011,35.716,Bekaa
07/2011,36.784,Bekaa
08/2011,35.262,Bekaa
09/2011,33.596,Bekaa
10/2011,43.517,Bekaa
11/2011,37.012,Bekaa
12/2011,42.374,Bekaa
01/2012,33.419,Bekaa
02/2012,22.855,Bekaa
03/2012,32.547,Bekaa
04/2012,36.864,Bekaa
05/2012,39.682,Bekaa
06/2012,40.714,Bekaa
07/2012,36.105,Bekaa
08/2012,38.884,Bekaa
09/2012,62.986,Bekaa
10/2012,33.443,Bekaa
11/2012,33.998,Bekaa
12/2012,44.042,Bekaa
01/2013,29.673,Bekaa
02/2013,30.755,Bekaa
03/2013,32.377,Bekaa
04/2013,41.144,Bekaa
05/2013,34.696,Bekaa
06/2013,34.974,Bekaa
07/2013,31.842,Bekaa
08/2013,35.375,Bekaa
09/2013,38.111,Bekaa
10/2013,34.088,Bekaa
11/2013,41.95,Bekaa
12/2013,48.607,Bekaa
01/2014,37.079,Bekaa
02/2014,31.415,Bekaa
03/2014,33.419,Bekaa
04/2014,40.11,Bekaa
05/2014,55.859,Bekaa
06/2014,42.07,Bekaa
07/2014,37.027,Bekaa
08/2014,48.445,Bekaa
09/2014,42.879,Bekaa
10/2014,38.564,Bekaa
11/2014,40.973,Bekaa
12/2014,47.744,Bekaa
01/2015,22.714,Bekaa
02/2015,21.658,Bekaa
03/2015,38.1,Bekaa
04/2015,28.487,Bekaa
05/2015,33.424,Bekaa
06/2015,38.146,Bekaa
07/2015,46.859,Bekaa
08/2015,45.48,Bekaa
09/2015,42.696,Bekaa
10/2015,33.738,Bekaa
11/2015,32.772,Bekaa
12/2015,51.427,Bekaa
01/2016,19.919,Bekaa
02/2016,41.907,Bekaa
03/2016,45.019,Bekaa
04/2016,46.032,Bekaa
05/2016,26.837,Bekaa
06/2016,31.268,Bekaa
07/2016,37.114,Bekaa
08/2016,37.075,Bekaa
09/2016,35.583,Bekaa
10/2016,39.955,Bekaa
11/2016,64.784,Bekaa
12/2016,38.119,Bekaa
