Date,Transaction_Value,City
01/2011,15.311,Nabatieh 
02/2011,16.726,Nabatieh 
03/2011,21.257,Nabatieh 
04/2011,19.893,Nabatieh 
05/2011,19.416,Nabatieh 
06/2011,28.211,Nabatieh 
07/2011,19.46,Nabatieh 
08/2011,20.382,Nabatieh 
09/2011,22.972,Nabatieh 
10/2011,34.822,Nabatieh 
11/2011,28.35,Nabatieh 
12/2011,37.07,Nabatieh 
01/2012,23.237,Nabatieh 
02/2012,21.9,Nabatieh 
03/2012,25.366,Nabatieh 
04/2012,26.176,Nabatieh 
05/2012,34.51,Nabatieh 
06/2012,25.191,Nabatieh 
07/2012,25.062,Nabatieh 
08/2012,30.944,Nabatieh 
09/2012,32.437,Nabatieh 
10/2012,25.928,Nabatieh 
11/2012,399.837,Nabatieh 
12/2012,32.468,Nabatieh 
01/2013,21.562,Nabatieh 
02/2013,24.424,Nabatieh 
03/2013,24.755,Nabatieh 
04/2013,33.874,Nabatieh 
05/2013,24.879,Nabatieh 
06/2013,29.97,Nabatieh 
07/2013,29.502,Nabatieh 
08/2013,28.65,Nabatieh 
09/2013,32.799,Nabatieh 
10/2013,35.53,Nabatieh 
11/2013,30.064,Nabatieh 
12/2013,37.946,Nabatieh 
01/2014,23.272,Nabatieh 
02/2014,33.612,Nabatieh 
03/2014,35.999,Nabatieh 
04/2014,39.048,Nabatieh 
05/2014,42.188,Nabatieh 
06/2014,37.589,Nabatieh 
07/2014,31.077,Nabatieh 
08/2014,46.969,Nabatieh 
09/2014,44.648,Nabatieh 
10/2014,32.477,Nabatieh 
11/2014,37.419,Nabatieh 
12/2014,39.362,Nabatieh 
01/2015,23.225,Nabatieh 
02/2015,24.817,Nabatieh 
03/2015,35.227,Nabatieh 
04/2015,27.743,Nabatieh 
05/2015,33.041,Nabatieh 
06/2015,32.973,Nabatieh 
07/2015,31.107,Nabatieh 
08/2015,34.821,Nabatieh 
09/2015,45.819,Nabatieh 
10/2015,33.238,Nabatieh 
11/2015,36.559,Nabatieh 
12/2015,50.686,Nabatieh 
01/2016,22.117,Nabatieh 
02/2016,26.827,Nabatieh 
03/2016,29.019,Nabatieh 
04/2016,30.237,Nabatieh 
05/2016,28.412,Nabatieh 
06/2016,26.319,Nabatieh 
07/2016,27.216,Nabatieh 
08/2016,33.988,Nabatieh 
09/2016,29.291,Nabatieh 
10/2016,35.5,Nabatieh 
11/2016,39.36,Nabatieh 
12/2016,34.6,Nabatieh 
