Date,Transaction_Value,City
01/2011,47.329,Saida 
02/2011,30.593,Saida 
03/2011,57.026,Saida 
04/2011,49.421,Saida 
05/2011,53.053,Saida 
06/2011,52.36,Saida 
07/2011,50.639,Saida 
08/2011,46.865,Saida 
09/2011,46.627,Saida 
10/2011,74.909,Saida 
11/2011,51.208,Saida 
12/2011,112.244,Saida 
01/2012,32.336,Saida 
02/2012,34.669,Saida 
03/2012,54.472,Saida 
04/2012,29.13,Saida 
05/2012,45.364,Saida 
06/2012,45.855,Saida 
07/2012,39.038,Saida 
08/2012,97.583,Saida 
09/2012,87.377,Saida 
10/2012,72.24,Saida 
11/2012,62.812,Saida 
12/2012,159.015,Saida 
01/2013,31.769,Saida 
02/2013,40.105,Saida 
03/2013,48.291,Saida 
04/2013,62.553,Saida 
05/2013,47.569,Saida 
06/2013,40.733,Saida 
07/2013,61.61,Saida 
08/2013,46.431,Saida 
09/2013,39.555,Saida 
10/2013,52.274,Saida 
11/2013,80.608,Saida 
12/2013,82.512,Saida 
01/2014,54.704,Saida 
02/2014,45.036,Saida 
03/2014,54.481,Saida 
04/2014,58.457,Saida 
05/2014,78.722,Saida 
06/2014,75.308,Saida 
07/2014,50.66,Saida 
08/2014,178.823,Saida 
09/2014,90.752,Saida 
10/2014,90.428,Saida 
11/2014,72.838,Saida 
12/2014,92.868,Saida 
01/2015,40.451,Saida 
02/2015,39.6,Saida 
03/2015,58.224,Saida 
04/2015,63.193,Saida 
05/2015,54.1,Saida 
06/2015,51.985,Saida 
07/2015,45.622,Saida 
08/2015,74.197,Saida 
09/2015,77.416,Saida 
10/2015,94.378,Saida 
11/2015,761.425,Saida 
12/2015,71.103,Saida 
01/2016,78.092,Saida 
02/2016,94.54,Saida 
03/2016,76.54,Saida 
04/2016,64.853,Saida 
05/2016,57.052,Saida 
06/2016,77.023,Saida 
07/2016,62.926,Saida 
08/2016,79.126,Saida 
09/2016,62.083,Saida 
10/2016,57.393,Saida 
11/2016,62.776,Saida 
12/2016,110.633,Saida 
