id,city,district,province,type,bedrooms,created_at,price_$,latitude,longitude,bathrooms,size_m2
1,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:41:21.410772+00,1100000,33.8886,35.4955,4,315
2,Beit El Kikko,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:41:21.586763+00,350000,33.9006,35.6178,4,255
3,Kfarzebian,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:41:21.799726+00,250000,33.9808,35.6856,2,110
4,Blat,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:41:21.997162+00,135000,34.1236,35.6455,4,125
5,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:47:15.605562+00,1100000,33.8886,35.4955,4,315
6,Beit El Kikko,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:15.700278+00,350000,33.9006,35.6178,4,255
7,Kfarzebian,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:47:15.886348+00,250000,33.9808,35.6856,2,110
8,Blat,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:16.044918+00,135000,34.1236,35.6455,4,125
9,Blat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:16.242025+00,140000,34.1236,35.6455,0,825
10,Batroun,Batroun,North,House/Villa,0,2025-03-16 14:47:16.532353+00,350000,34.2556,35.6586,0,230
11,Ain Al Remmane,Baabda,Mount Lebanon,Apartment,2,2025-03-16 14:47:16.634802+00,295000,33.8333,35.5442,2,180
12,Broumana,El Metn,Mount Lebanon,Land,0,2025-03-16 14:47:16.734447+00,645000,33.9006,35.6178,0,1612
13,Broumana,El Metn,Mount Lebanon,Land,0,2025-03-16 14:47:16.884862+00,690000,33.9006,35.6178,0,1536
14,Tabarja,Kesrouane,Mount Lebanon,Chalet,0,2025-03-16 14:47:16.976988+00,37000,33.9808,35.6856,0,4
15,Lehfed,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:17.127587+00,110000,34.1236,35.6455,0,1200
16,Sarba,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:17.22806+00,2500000,33.9808,35.6856,0,986
17,Dbayeh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:17.337684+00,230000,33.9006,35.6178,3,200
18,Qornet El Hamra,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:17.435228+00,169000,33.9006,35.6178,3,135
19,Qornet El Hamra,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:47:17.564235+00,108000,33.9006,35.6178,2,100
20,Tabarja,Kesrouane,Mount Lebanon,Chalet,1,2025-03-16 14:47:17.662901+00,550000,33.9808,35.6856,1,70
21,kfarhbeib,Kesrouane,Mount Lebanon,Apartment,5,2025-03-16 14:47:17.75971+00,340000,33.9808,35.6856,3,400
22,Kfarzebian,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:17.897032+00,1000000,33.9808,35.6856,0,3616
23,Achrafieh,Beirut,Beirut,Apartment,1,2025-03-16 14:47:17.999125+00,320000,33.8886,35.4955,2,80
24,Batroun,Batroun,North,House/Villa,7,2025-03-16 14:47:18.087196+00,1250000,34.2556,35.6586,7,700
25,Batroun,Batroun,North,Apartment,3,2025-03-16 14:47:18.175738+00,140000,34.2556,35.6586,2,185
26,Dekweneh,El Metn,Mount Lebanon,Office,3,2025-03-16 14:47:18.337962+00,450000,33.9006,35.6178,0,127
27,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:47:18.429409+00,300000,33.8886,35.4955,2,200
28,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:18.523912+00,175000,34.1236,35.6455,3,176
29,Jbeil,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:47:18.626609+00,195000,34.1236,35.6455,3,145
30,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:18.717837+00,270000,34.1236,35.6455,2,200
31,Furn El Chebbak,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:47:18.811049+00,260000,33.8333,35.5442,3,184
32,Beit El Kikko,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:18.907923+00,260000,33.9006,35.6178,3,165
33,kfarhbeib,Kesrouane,Mount Lebanon,Apartment,4,2025-03-16 14:47:19.003108+00,500000,33.9808,35.6856,5,360
34,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:19.10135+00,220000,34.1236,35.6455,4,180
35,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:19.190326+00,245000,34.1236,35.6455,4,180
36,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:19.29897+00,245000,34.1236,35.6455,4,200
37,kfarhbeib,Kesrouane,Mount Lebanon,Apartment,4,2025-03-16 14:47:19.421514+00,275000,33.9808,35.6856,3,205
38,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:19.51676+00,90000,34.1236,35.6455,3,115
39,Monteverde,El Metn,Mount Lebanon,Land,0,2025-03-16 14:47:19.606383+00,770000,33.9006,35.6178,0,1400
40,Adma,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:47:19.698285+00,400000,33.9808,35.6856,2,155
41,Dbayeh,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:47:19.787349+00,200000,33.9006,35.6178,2,120
42,Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:19.877052+00,140000,33.9006,35.6178,2,170
43,Aannaya,Jbeil,Mount Lebanon,House/Villa,4,2025-03-16 14:47:19.985246+00,900000,34.1236,35.6455,4,450
44,Braij,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:20.08877+00,900000,34.1236,35.6455,0,3300
45,Kfar Aabida,Batroun,North,Land,0,2025-03-16 14:47:20.184407+00,250000,34.2556,35.6586,0,919
46,Tabarja,Kesrouane,Mount Lebanon,Chalet,1,2025-03-16 14:47:20.289708+00,125000,33.9808,35.6856,0,37
47,Hazmieh,Baabda,Mount Lebanon,Office,1,2025-03-16 14:47:20.387418+00,100000,33.8333,35.5442,0,50
48,Furn El Chebbak,Baabda,Mount Lebanon,Warehouse,2,2025-03-16 14:47:20.493135+00,230000,33.8333,35.5442,0,200
49,Dbayeh,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:47:20.592175+00,187000,33.9006,35.6178,2,140
50,Ehmej,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:20.68559+00,250000,34.1236,35.6455,0,1200
51,Ballouneh,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:20.776164+00,185000,33.9808,35.6856,4,180
52,Jbeil,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:20.868009+00,3000000,34.1236,35.6455,0,2504
53,Blat,Jbeil,Mount Lebanon,Shop,2,2025-03-16 14:47:20.955332+00,65000,34.1236,35.6455,0,40
54,Blat,Jbeil,Mount Lebanon,Shop,1,2025-03-16 14:47:21.045475+00,120000,34.1236,35.6455,0,75
55,Mansourieh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:47:21.134523+00,270000,33.9006,35.6178,4,240
56,Monteverde,El Metn,Mount Lebanon,House/Villa,8,2025-03-16 14:47:21.228133+00,3100000,33.9006,35.6178,0,2300
57,Faraya,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:21.32126+00,450000,33.9808,35.6856,0,2100
58,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:47:21.414289+00,1050000,33.8886,35.4955,4,280
59,Halat,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:21.537527+00,140000,34.1236,35.6455,3,140
60,Batroun,Batroun,North,Land,0,2025-03-16 14:47:21.625534+00,1400000,34.2556,35.6586,0,4700
61,Batroun,Batroun,North,Land,0,2025-03-16 14:47:21.725654+00,320000,34.2556,35.6586,0,1063
62,Adonis,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:47:21.830833+00,170000,33.9808,35.6856,2,200
63,Bsalim,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:47:21.927727+00,160000,33.9006,35.6178,2,115
64,Fidar,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:47:22.030547+00,345000,34.1236,35.6455,3,200
65,Kfarzebian,Kesrouane,Mount Lebanon,Chalet,2,2025-03-16 14:47:22.125434+00,195000,33.9808,35.6856,2,90
66,Roumie,El Metn,Mount Lebanon,Warehouse,1,2025-03-16 14:47:22.214169+00,500000,33.9006,35.6178,0,1100
67,Aannaya,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:47:22.311513+00,570000,34.1236,35.6455,0,8111
68,Ain Al Remmane,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:47:22.44771+00,325000,33.8333,35.5442,3,300
69,Achkout,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:47:22.643034+00,250000,33.9808,35.6856,0,440
