Address,Price $,Size m²,Bedrooms,Bathrooms,Furnished
"Hasbaiyya Baabda, Baabda, Mount Lebanon",395000,165,3,4,yes
"Al Nakhle, Koura, North",90000,117,2,2,no
"Ain Saadeh, El Metn, Mount Lebanon",420000,190,3,4,yes
"Rabweh, El Metn, Mount Lebanon",110000,125,2,2,no
"Furn El Chebbak, Baabda, Mount Lebanon",255000,235,3,2,partly
"Beit Meri, El Metn, Mount Lebanon",600000,250,3,3,no
"Beit Meri, El Metn, Mount Lebanon",650000,260,3,4,no
"Mar Elias, Beirut, Beirut",420000,220,3,4,yes
"Achrafieh, Beirut, Beirut",420000,165,3,4,no
"El Biyada, El Metn, Mount Lebanon",330000,260,4,3,no
"Rabweh, El Metn, Mount Lebanon",520000,230,3,4,yes
"Mtayleb, El Metn, Mount Lebanon",680000,277,3,4,no
"Antelias, El Metn, Mount Lebanon",550000,225,3,5,no
"Rabieh, El Metn, Mount Lebanon",365000,240,3,3,yes
"Jal el Dib, El Metn, Mount Lebanon",299000,347,3,4,yes
"El Biyada, El Metn, Mount Lebanon",650000,310,3,4,no
"Monteverde, El Metn, Mount Lebanon",430000,260,3,4,no
"Achrafieh, Beirut, Beirut",550000,174,3,4,no
"Achrafieh, Beirut, Beirut",350000,130,2,2,partly
"Achrafieh, Beirut, Beirut",525000,190,2,3,no
"Achrafieh, Beirut, Beirut",500000,155,2,2,yes
"Achrafieh, Beirut, Beirut",320000,125,2,2,yes
"Achrafieh, Beirut, Beirut",620000,230,3,3,yes
"Sahel Alma, Kesrouane, Mount Lebanon",1970000,2820,N/A,N/A,no
"Sahel Alma, Kesrouane, Mount Lebanon",3600000,5200,N/A,N/A,no
"Achrafieh, Beirut, Beirut",1590000,420,3,4,no
"Achrafieh, Beirut, Beirut",1390000,430,4,5,no
"Achrafieh, Beirut, Beirut",1500000,400,3,5,yes
"Achrafieh, Beirut, Beirut",645000,285,3,3,yes
"Down Town, Beirut, Beirut",499000,125,1,2,no
"Dbayeh, El Metn, Mount Lebanon",140000,125,2,2,no
"Achrafieh, Beirut, Beirut",700000,245,3,4,no
"Achrafieh, Beirut, Beirut",700000,210,3,4,no
"Achrafieh, Beirut, Beirut",410000,197,3,4,yes
"Achrafieh, Beirut, Beirut",600000,250,3,4,no
"Achrafieh, Beirut, Beirut",590000,236,3,4,no
"Hasbaiyya Baabda, Baabda, Mount Lebanon",395000,165,3,4,yes
"Fanar, El Metn, Mount Lebanon",160000,140,2,2,yes
"Hosrayel, Jbeil, Mount Lebanon",230000,367,3,3,no
"Kfar Yassine, Kesrouane, Mount Lebanon",100000,165,3,3,no
"Achrafieh, Beirut, Beirut",1100000,300,3,4,no
"Nahr Ibrahim, Jbeil, Mount Lebanon",210000,220,3,3,no
