City,District,Province,Type,Size m²,Bedrooms,Bathrooms,Price $,Latitude,Longitude
Achrafieh,Beirut,Beirut,Apartment,315,3,4,1100000,33.8886,35.4955
Beit El Kikko,El Metn,Mount Lebanon,Apartment,255,3,4,350000,33.9006,35.6178
Kfarzebian,Kesrouane,Mount Lebanon,Apartment,110,2,2,250000,33.9808,35.6856
Blat,Jbeil,Mount Lebanon,Apartment,125,2,4,135000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Land,825,0,0,140000,34.1236,35.6455
Batroun,Batroun,North,House/Villa,230,0,0,350000,34.2556,35.6586
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,180,2,2,295000,33.8333,35.5442
Broumana,El Metn,Mount Lebanon,Land,1612,0,0,645000,33.9006,35.6178
Broumana,El Metn,Mount Lebanon,Land,1536,0,0,690000,33.9006,35.6178
Tabarja,Kesrouane,Mount Lebanon,Chalet,4,0,0,37000,33.9808,35.6856
Lehfed,Jbeil,Mount Lebanon,Land,1200,0,0,110000,34.1236,35.6455
Sarba,Kesrouane,Mount Lebanon,Land,986,0,0,2500000,33.9808,35.6856
Dbayeh,El Metn,Mount Lebanon,Apartment,200,3,3,230000,33.9006,35.6178
Qornet El Hamra,El Metn,Mount Lebanon,Apartment,135,3,3,169000,33.9006,35.6178
Qornet El Hamra,El Metn,Mount Lebanon,Apartment,100,2,2,108000,33.9006,35.6178
Tabarja,Kesrouane,Mount Lebanon,Chalet,70,1,1,550000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,400,5,3,340000,33.9808,35.6856
Kfarzebian,Kesrouane,Mount Lebanon,Land,3616,0,0,1000000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,80,1,2,320000,33.8886,35.4955
Batroun,Batroun,North,House/Villa,700,7,7,1250000,34.2556,35.6586
Batroun,Batroun,North,Apartment,185,3,2,140000,34.2556,35.6586
Dekweneh,El Metn,Mount Lebanon,Office,127,3,0,450000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,200,3,2,300000,33.8886,35.4955
Jbeil,Jbeil,Mount Lebanon,Apartment,176,3,3,175000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,145,2,3,195000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,200,3,2,270000,34.1236,35.6455
Furn El Chebbak,Baabda,Mount Lebanon,Apartment,184,3,3,260000,33.8333,35.5442
Beit El Kikko,El Metn,Mount Lebanon,Apartment,165,3,3,260000,33.9006,35.6178
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,360,4,5,500000,33.9808,35.6856
Jbeil,Jbeil,Mount Lebanon,Apartment,180,3,4,220000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,180,3,4,245000,34.1236,35.6455
Jbeil,Jbeil,Mount Lebanon,Apartment,200,3,4,245000,34.1236,35.6455
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,205,4,3,275000,33.9808,35.6856
Hboub,Jbeil,Mount Lebanon,Apartment,115,3,3,90000,34.1236,35.6455
Monteverde,El Metn,Mount Lebanon,Land,1400,0,0,770000,33.9006,35.6178
Adma,Kesrouane,Mount Lebanon,Apartment,155,2,2,400000,33.9808,35.6856
Dbayeh,El Metn,Mount Lebanon,Apartment,120,2,2,200000,33.9006,35.6178
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,170,3,2,140000,33.9006,35.6178
Aannaya,Jbeil,Mount Lebanon,House/Villa,450,4,4,900000,34.1236,35.6455
Braij,Jbeil,Mount Lebanon,Land,3300,0,0,900000,34.1236,35.6455
Kfar Aabida,Batroun,North,Land,919,0,0,250000,34.2556,35.6586
Tabarja,Kesrouane,Mount Lebanon,Chalet,37,1,0,125000,33.9808,35.6856
Hazmieh,Baabda,Mount Lebanon,Office,50,1,0,100000,33.8333,35.5442
Furn El Chebbak,Baabda,Mount Lebanon,Warehouse,200,2,0,230000,33.8333,35.5442
Dbayeh,El Metn,Mount Lebanon,Apartment,140,2,2,187000,33.9006,35.6178
Ehmej,Jbeil,Mount Lebanon,Land,1200,0,0,250000,34.1236,35.6455
Ballouneh,Kesrouane,Mount Lebanon,Apartment,180,3,4,185000,33.9808,35.6856
Jbeil,Jbeil,Mount Lebanon,Land,2504,0,0,3000000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Shop,40,2,0,65000,34.1236,35.6455
Blat,Jbeil,Mount Lebanon,Shop,75,1,0,120000,34.1236,35.6455
Mansourieh,El Metn,Mount Lebanon,Apartment,240,3,4,270000,33.9006,35.6178
Monteverde,El Metn,Mount Lebanon,House/Villa,2300,8,0,3100000,33.9006,35.6178
Faraya,Kesrouane,Mount Lebanon,Land,2100,0,0,450000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,280,3,4,1050000,33.8886,35.4955
Halat,Jbeil,Mount Lebanon,Apartment,140,3,3,140000,34.1236,35.6455
Batroun,Batroun,North,Land,4700,0,0,1400000,34.2556,35.6586
Batroun,Batroun,North,Land,1063,0,0,320000,34.2556,35.6586
Adonis,Kesrouane,Mount Lebanon,Apartment,200,3,2,170000,33.9808,35.6856
Bsalim,El Metn,Mount Lebanon,Apartment,115,2,2,160000,33.9006,35.6178
Fidar,Jbeil,Mount Lebanon,Apartment,200,3,3,345000,34.1236,35.6455
Kfarzebian,Kesrouane,Mount Lebanon,Chalet,90,2,2,195000,33.9808,35.6856
Roumie,El Metn,Mount Lebanon,Warehouse,1100,1,0,500000,33.9006,35.6178
Aannaya,Jbeil,Mount Lebanon,Land,8111,0,0,570000,34.1236,35.6455
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,300,3,3,325000,33.8333,35.5442
Achkout,Kesrouane,Mount Lebanon,Land,440,0,0,250000,33.9808,35.6856
Baabdat,El Metn,Mount Lebanon,Apartment,200,3,3,450000,33.9006,35.6178
Aannaya,Jbeil,Mount Lebanon,Apartment,200,3,3,100000,34.1236,35.6455
Bouar,Kesrouane,Mount Lebanon,Apartment,130,2,2,150000,33.9808,35.6856
Edde,Jbeil,Mount Lebanon,Apartment,125,2,2,125000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Apartment,200,2,2,400000,33.8886,35.4955
Monteverde,El Metn,Mount Lebanon,Apartment,200,3,3,350000,33.9006,35.6178
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,250,4,3,400000,33.9808,35.6856
Haret Sakher,Kesrouane,Mount Lebanon,House/Villa,200,3,3,325000,33.9808,35.6856
Rabweh,El Metn,Mount Lebanon,Apartment,190,3,3,370000,33.9006,35.6178
Rabweh,El Metn,Mount Lebanon,Apartment,200,3,3,310000,33.9006,35.6178
Aamchit,Jbeil,Mount Lebanon,Apartment,111,2,2,110000,34.1236,35.6455
Chikhane,Jbeil,Mount Lebanon,Land,1167,0,0,130000,34.1236,35.6455
Zouk Mikael,Kesrouane,Mount Lebanon,Warehouse,170,1,0,165000,33.9808,35.6856
Naccache,El Metn,Mount Lebanon,Apartment,145,3,3,230000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,400,3,3,1250000,33.8886,35.4955
Baabda,Baabda,Mount Lebanon,Apartment,255,3,4,295000,33.8333,35.5442
Adma,Kesrouane,Mount Lebanon,Land,1445,0,0,1100000,33.9808,35.6856
