,Title,Price
id,564480,2000000
client_id,1191,2000000
agent_id,2866,2000000
type_id,1,2000000
category_id,1,2000000
price_type_id,1,2000000
default_image_id,7455775,2000000
reference,RWV-NY15,2000000
personal_reference,NY15,2000000
community_id,241,2000000
district_id,28,2000000
province_id,2,2000000
bathroom_value,6,2000000
bedroom_value,4,2000000
title_en,Apartment for sale in Ain El Tineh,2000000
title_ar,شقة للبيع في عين التينة,2000000
description_en,"That sounds like a fantastic place, especially for a family! The combination of a spacious living room and four master bedrooms definitely gives off that cozy, family-friendly vibe. The shared gym is a huge plus too, especially with how important it is to have a way to de-stress. And a kids' space is always a win for parents—after a long school day, it’s nice to have a spot where they can burn off energy. 

Is it located in a central area of Ain El Tineh, or is it more of a quieter neighborhood?

Who We Are?
Ray White International is part of Ray White that is a global Real Estate marketing and investment company with over 2,000 offices around the world and over 35,000 people working across many countries.
The company was started, in rural Australia, by Ray White in 1902, and has grown today to become one of the leading global Real Estate companies in the world serving satisfied customers across Australasia, the USA, India, and the Middle East.
The company has over 119 years of history in creating and developing successful careers and businesses in the fields of Real Estate marketing & investment, construction, leasing, insurance.
We have a team of exceptional leaders that is well trained and experienced to deliver tangible value to our clients through a network of local and international locations.",2000000
description_ar,"يبدو هذا المكان رائعًا، وخاصة للعائلات! إن الجمع بين غرفة المعيشة الفسيحة وأربع غرف نوم رئيسية يضفي بالتأكيد أجواءً مريحة ومناسبة للعائلة. كما أن الصالة الرياضية المشتركة تشكل إضافة كبيرة، خاصة مع أهمية وجود وسيلة للتخلص من التوتر. كما أن وجود مساحة مخصصة للأطفال يعد دائمًا أمرًا مفيدًا للآباء والأمهات - فبعد يوم دراسي طويل، من الجيد أن يكون لديهم مكان يمكنهم فيه حرق الطاقة.

هل يقع في منطقة مركزية في عين التينة، أم أنه حي أكثر هدوءًا؟

من نحن؟
شركة راي وايت العالمية هي جزء من شركة راي وايت العالمية للتسويق والاستثمار العقاري والتي تمتلك أكثر من 2000 مكتب حول العالم وأكثر من 35000 شخص يعملون في العديد من البلدان.
بدأت الشركة في الريف الأسترالي على يد راي وايت في عام 1902، ونمت اليوم لتصبح واحدة من شركات العقارات العالمية الرائدة في العالم والتي تخدم العملاء الراضين في جميع أنحاء أستراليا والولايات المتحدة والهند والشرق الأوسط.
تتمتع الشركة بتاريخ يزيد عن 119 عامًا في إنشاء وتطوير المهن والأعمال الناجحة في مجالات التسويق والاستثمار العقاري والبناء والتأجير والتأمين.
لدينا فريق من القادة الاستثنائيين المدربين تدريبًا جيدًا والذين يتمتعون بخبرة لتقديم قيمة ملموسة لعملائنا من خلال شبكة من المواقع المحلية والدولية.",2000000
price,2000000,2000000
area,580,2000000
furnished,no,2000000
listing_level,premium,2000000
first_approved_at,2025-01-29T14:43:10Z,2000000
boosted,False,2000000
created_at,2025-01-29T13:15:59Z,2000000
_version_,1822594738095652864,2000000
score,2,2000000
images_count,21,2000000
