id,province_id,name_en,name_ar,copy_field_en,copy_field_ar
p1,1,Nabatieh Governorate,محافظة النبطية,Nabatieh Governorate,محافظة النبطية
p2,2,Beirut Governorate,محافظة بيروت,Beirut Governorate,محافظة بيروت
p3,3,North Governorate,محافظة الشمال,North Governorate,محافظة الشمال
p4,4,Bekaa Governorate,محافظة البقاع,Bekaa Governorate,محافظة البقاع
p5,5,South Governorate,محافظة الجنوب,South Governorate,محافظة الجنوب
p6,6,Mount Lebanon Governorate,محافظة جبل لبنان,Mount Lebanon Governorate,محافظة جبل لبنان
d12,1,Hasbaya district,قضاء حاصبيا,Hasbaya district (Nabatieh Governorate),قضاء حاصبيا (محافظة النبطية)
d20,1,Marjaayoun district,قضاء مرجعيون,Marjaayoun district (Nabatieh Governorate),قضاء مرجعيون (محافظة النبطية)
d21,1,Nabatieh district,قضاء النبطية,Nabatieh district (Nabatieh Governorate),قضاء النبطية (محافظة النبطية)
d29,1,Bint Jbeil district,قضاء بنت جبيل,Bint Jbeil district (Nabatieh Governorate),قضاء بنت جبيل (محافظة النبطية)
d28,2,Beirut district,قضاء بيروت,Beirut district (Beirut Governorate),قضاء بيروت (محافظة بيروت)
d9,3,Minieh-danniyeh district,قضاء المنية والضنية,Minieh-danniyeh district (North Governorate),قضاء المنية والضنية (محافظة الشمال)
d10,3,Bcharre district,قضاء بشري,Bcharre district (North Governorate),قضاء بشري (محافظة الشمال)
d17,3,Tripoli district,قضاء طرابلس,Tripoli district (North Governorate),قضاء طرابلس (محافظة الشمال)
d18,3,Koura district,قضاء الكورة,Koura district (North Governorate),قضاء الكورة (محافظة الشمال)
d23,3,Akkar district,قضاء عكار,Akkar district (North Governorate),قضاء عكار (محافظة الشمال)
d25,3,Zgharta district,قضاء زغرتا,Zgharta district (North Governorate),قضاء زغرتا (محافظة الشمال)
d27,3,Batroun district,قضاء البترون,Batroun district (North Governorate),قضاء البترون (محافظة الشمال)
d7,4,Hermel district,قضاء هرمل,Hermel district (Bekaa Governorate),قضاء هرمل (محافظة البقاع)
d11,4,West Bekaa district,قضاء البقاع الغربي,West Bekaa district (Bekaa Governorate),قضاء البقاع الغربي (محافظة البقاع)
d16,4,Zahle district,قضاء زحلة,Zahle district (Bekaa Governorate),قضاء زحلة (محافظة البقاع)
d19,4,Baalbeck district,قضاء بعلبك,Baalbeck district (Bekaa Governorate),قضاء بعلبك (محافظة البقاع)
d26,4,Rachaiya district,قضاء راشيا,Rachaiya district (Bekaa Governorate),قضاء راشيا (محافظة البقاع)
d8,5,Jezzine district,قضاء جزين,Jezzine district (South Governorate),قضاء جزين (محافظة الجنوب)
d14,5,Tyre district,قضاء صور,Tyre district (South Governorate),قضاء صور (محافظة الجنوب)
d31,5,Saida district,قضاء صيدا,Saida district (South Governorate),قضاء صيدا (محافظة الجنوب)
d13,6,Aley district,قضاء عاليه,Aley district (Mount Lebanon Governorate),قضاء عاليه (محافظة جبل لبنان)
d15,6,Baabda district,قضاء بعبدا,Baabda district (Mount Lebanon Governorate),قضاء بعبدا (محافظة جبل لبنان)
d22,6,Chouf district,قضاء الشوف,Chouf district (Mount Lebanon Governorate),قضاء الشوف (محافظة جبل لبنان)
d24,6,El Metn district,قضاء المتن,El Metn district (Mount Lebanon Governorate),قضاء المتن (محافظة جبل لبنان)
d30,6,Jbeil district,قضاء جبيل,Jbeil district (Mount Lebanon Governorate),قضاء جبيل (محافظة جبل لبنان)
