Title,Price,Bedroom,Bathroom,Area sqm,DistrictID,Furnished,ProvinceID,Community_id
Villa with a private land,395000,3,4,165,15,yes,6,836
Block (B) Flat (A) first floor,90000,2,2,117,18,no,3,195
Modern apartment for sale in Ain Saadeh,420000,3,4,190,24,yes,6,1337
Apartment for sale in Rabweh,110000,2,2,125,24,no,6,905
Spacious | renovated building | balconies,255000,3,2,235,15,partly,6,473
apartment for sale in Beit Mery EM5,600000,3,3,250,24,no,6,1011
Apartment for sale in Beit Mery EM4,650000,3,4,260,24,no,6,1011
Apartment for Sale in Mar Elias,420000,3,4,220,28,yes,2,504
High-End Apartment for Sale in Achrafieh,420000,3,4,165,28,no,2,969
Apartment for Sale in Biyada,330000,4,3,260,24,no,6,796
Fully Furnished | 2 Balconies | For Sale in Rabweh,520000,3,4,230,24,yes,6,905
277 Sqm Apartment For Sale in Mtayleb,680000,3,4,277,24,no,6,760
Sea View | 225 Sqm | 3 Master Bedrooms,550000,3,5,225,24,no,6,829
240 Sqm | Apartment for Sale in Rabieh,365000,3,3,240,24,yes,6,723
Sea View | 347 sqm | Apartment for Sale in Jal el Dib,299000,3,4,347,24,yes,6,939
Mountain and Sea View | 310 Sqm | Apartment for Sale in Biyada,650000,3,4,310,24,no,6,796
Apartment with Terrace for Sale in Monteverde,430000,3,4,260,24,no,6,324
174 Sqm | Shared Pool&Gym | for Sale in Achrafieh,550000,3,4,174,28,no,2,969
Fully Upgraded Flat | High End Design | Semi Furnished,350000,2,2,130,28,partly,2,969
Amazing Loft | Great Finishing | Open View,525000,2,3,190,28,no,2,969
Spacious & Bright | Prime Location | Open View,500000,2,2,155,28,yes,2,969
Cozy Flat | Bright | Prime Area | 24/7 Elec,320000,2,2,125,28,yes,2,969
Furnished Loft | Modern Lifestyle | 24/7 Security,620000,3,3,230,28,yes,2,969
Land for sale in Sahel Alma RB126,1970000,,,2820,32,no,6,472
Land for sale in Sahel Alma RB125,3600000,,,5200,32,no,6,472
Golden Area | 420 Sqm | Terrace,1590000,3,4,420,28,no,2,969
Golden Area | Abdel Wahab Street | Spacious Apartment,1390000,4,5,430,28,no,2,969
Golden Area | High End | Apartment For Sale,1500000,3,5,400,28,yes,2,969
Golden Area | 285 Sqm | Achrafieh,645000,3,3,285,28,yes,2,969
Shared Pool&Gym | Balcony | 125 Sqm,499000,1,2,125,28,no,2,535
Apartment for sale in Dbayeh,140000,2,2,125,24,no,6,1230
New Apt | Large Balcony | Sea View,700000,3,4,245,28,no,2,969
Modern Loft + Large Terrace & Stunning View,700000,3,4,210,28,no,2,969
Modern Building | Open View | Perfect Location,410000,3,4,197,28,yes,2,969
250 sqm New Apt + 83 sqm Private Garden,600000,3,4,250,28,no,2,969
Luxurious Apartment | Nice Balcony | Prime Location.,590000,3,4,236,28,no,2,969
Villa with a private land,395000,3,4,165,15,yes,6,836
Fully furnished apartment for sale in Fanar,160000,2,2,140,24,yes,6,66
Apartment for sale in Hosrayel,230000,3,3,367,30,no,6,1275
Apartment for sale in Kfaryassine,100000,3,3,165,32,no,6,944
Golden Area | 300 Sqm | Apartment For Sale,1100000,3,4,300,28,no,2,969
Duplex for sale in Naher Ibrahim,210000,3,3,220,30,no,6,1203
House for sale in Jouret el Termos,125000,2,2,145,32,yes,6,216
Duplex for sale in Sahel alma,365000,4,4,350,32,no,6,472
House for sale in Aazra,145000,2,1,100,32,no,6,361
Furnished Loft | Spacious Terrace | For Sale,295000,1,2,122,28,yes,2,969
197 Sqm | 3 Bedrooms | With a Big Balcony,389000,3,4,197,28,yes,2,969
Open Sea View | High Floor | Shared Gym & Pool,285000,1,1,68,28,no,2,105
145 Sqm | Furnished | Apartment For Sale In Achrafieh,375000,2,3,145,28,yes,2,969
Loft For Sale | 200 Sqm | 24/7 Electricity,560000,3,4,200,28,yes,2,969
Convenient | Modern | Open View,350000,3,3,165,28,yes,2,969
Great Finishing | Catchy | Prime Location | Security,480000,3,2,190,28,yes,2,969
Beautifully Furnished | Spacious | 2 PKG,530000,3,3,260,28,yes,2,969
Modern Unique | Pool & Gym | Breathtaking View,1600000,3,4,345,28,yes,2,969
ROI $30k | Spacious | High End | Prime Area | 24/7 Security,1500000,3,4,365,28,no,2,969
Spacious | Modern | Smartly Designed | Great View,700000,3,4,230,28,yes,2,969
New Duplex | 2 Balconies | Mountain & Sea View,570000,3,4,240,28,no,2,969
Apartment with Garden for Sale in Biyada,310000,3,4,200,24,no,6,796
330 Sqm | 2 Master Bedrooms | Shared Pool&Gym,1900000,2,3,330,28,yes,2,535
800 Sqm Penthouse | High Floor | Pool,5000000,3,6,800,28,no,2,969
3 Bedrooms Apartment | 260 Sqm | For Sale,545000,3,4,260,28,yes,2,969
Sea View | 350 Sqm | for Sale In Achrafieh,1390000,3,5,350,28,yes,2,969
Open View | 240 Sqm | For Sale In Achrafieh,560000,3,4,240,28,yes,2,969
Apartment for sale in Rabweh,205000,3,3,215,24,no,6,905
Renovated Apartment | Sea View in Jal El Dib,229000,3,3,165,24,yes,6,939
"Partial Sea view Apartment | 350 Sqm | in Waterfront, Dbayeh",1300000,3,5,350,24,no,6,1230
530 Sqm | Sea View | Apartment For Sale In Rabieh,870000,5,5,530,24,no,6,723
Charming 200 sqm Classic Apt for Sale in Mar Chaaya,500000,3,3,200,24,yes,6,1302
Apartment for sale in Bseba,200000,4,4,200,15,yes,6,363
New Apartment for Sale in Fanar with Panoramic View,350000,3,3,200,24,no,6,66
Gorgeous Flat | Chimney | Open Kitchen | Family Friendly,300000,3,3,165,28,yes,2,969
Apartment for sale in Hamra,165000,2,1,72,28,yes,2,759
Apartment for sale in Ain El Tineh,2000000,4,6,580,28,no,2,241
Chalet in ZAAROUR CLUB,136000,1,1,70,24,partly,6,1087
2 bedroom apartment - Tilal Ain Saadeh - 129000$,129000,2,2,107,24,no,6,2055
