Address,Price $,Type,Size m²,Bedrooms,Bathrooms
"Achrafieh, Beirut, Beirut",1100000,Apartment,315,3,4
"Beit El Kikko, El Metn, Mount Lebanon",350000,Apartment,255,3,4
"Kfarzebian, Kesrouane, Mount Lebanon",250000,Apartment,110,2,2
"Blat, Jbeil, Mount Lebanon",135000,Apartment,125,2,4
"Blat, Jbeil, Mount Lebanon",140000,Land,825,N/A,N/A
"Batroun, Batroun, North",350000,House/Villa,230,N/A,N/A
"Ain Al Remmane, Baabda, Mount Lebanon",295000,Apartment,180,2,2
"Broumana, El Metn, Mount Lebanon",645000,Land,1612,N/A,N/A
"Broumana, El Metn, Mount Lebanon",690000,Land,1536,N/A,N/A
"Tabarja, Kesrouane, Mount Lebanon",37000,Chalet,4,N/A,N/A
"Lehfed, Jbeil, Mount Lebanon",110000,Land,1200,N/A,N/A
"Sarba, Kesrouane, Mount Lebanon",2500000,Land,986,N/A,N/A
"Dbayeh, El Metn, Mount Lebanon",230000,Apartment,200,3,3
"Qornet El Hamra, El Metn, Mount Lebanon",169000,Apartment,135,3,3
"Qornet El Hamra, El Metn, Mount Lebanon",108000,Apartment,100,2,2
"Tabarja, Kesrouane, Mount Lebanon",550000,Chalet,70,1,1
"kfarhbeib, Kesrouane, Mount Lebanon",340000,Apartment,400,5,3
"Kfarzebian, Kesrouane, Mount Lebanon",1000000,Land,3616,N/A,N/A
"Achrafieh, Beirut, Beirut",320000,Apartment,80,1,2
"Batroun, Batroun, North",1250000,House/Villa,700,7,7
"Batroun, Batroun, North",140000,Apartment,185,3,2
"Dekweneh, El Metn, Mount Lebanon",450000,Office,127,3,N/A
"Achrafieh, Beirut, Beirut",300000,Apartment,200,3,2
"Jbeil, Jbeil, Mount Lebanon",175000,Apartment,176,3,3
"Jbeil, Jbeil, Mount Lebanon",195000,Apartment,145,2,3
"Jbeil, Jbeil, Mount Lebanon",270000,Apartment,200,3,2
"Furn El Chebbak, Baabda, Mount Lebanon",260000,Apartment,184,3,3
"Beit El Kikko, El Metn, Mount Lebanon",260000,Apartment,165,3,3
"kfarhbeib, Kesrouane, Mount Lebanon",500000,Apartment,360,4,5
"Jbeil, Jbeil, Mount Lebanon",220000,Apartment,180,3,4
"Jbeil, Jbeil, Mount Lebanon",245000,Apartment,180,3,4
"Jbeil, Jbeil, Mount Lebanon",245000,Apartment,200,3,4
"kfarhbeib, Kesrouane, Mount Lebanon",275000,Apartment,205,4,3
"Hboub, Jbeil, Mount Lebanon",90000,Apartment,115,3,3
"Monteverde, El Metn, Mount Lebanon",770000,Land,1400,N/A,N/A
"Adma, Kesrouane, Mount Lebanon",400000,Apartment,155,2,2
"Dbayeh, El Metn, Mount Lebanon",200000,Apartment,120,2,2
"Mazraat Yachouh, El Metn, Mount Lebanon",140000,Apartment,170,3,2
"Aannaya, Jbeil, Mount Lebanon",900000,House/Villa,450,4,4
"Braij, Jbeil, Mount Lebanon",900000,Land,3300,N/A,N/A
"Kfar Aabida, Batroun, North",250000,Land,919,N/A,N/A
"Tabarja, Kesrouane, Mount Lebanon",125000,Chalet,37,1,N/A
"Hazmieh, Baabda, Mount Lebanon",100000,Office,50,1,N/A
"Furn El Chebbak, Baabda, Mount Lebanon",230000,Warehouse,200,2,N/A
"Dbayeh, El Metn, Mount Lebanon",187000,Apartment,140,2,2
"Ehmej, Jbeil, Mount Lebanon",250000,Land,1200,N/A,N/A
"Ballouneh, Kesrouane, Mount Lebanon",185000,Apartment,180,3,4
"Jbeil, Jbeil, Mount Lebanon",3000000,Land,2504,N/A,N/A
"Blat, Jbeil, Mount Lebanon",65000,Shop,40,2,N/A
"Blat, Jbeil, Mount Lebanon",120000,Shop,75,1,N/A
"Mansourieh, El Metn, Mount Lebanon",270000,Apartment,240,3,4
"Monteverde, El Metn, Mount Lebanon",3100000,House/Villa,2300,8,N/A
"Faraya, Kesrouane, Mount Lebanon",450000,Land,2100,N/A,N/A
"Achrafieh, Beirut, Beirut",1050000,Apartment,280,3,4
"Halat, Jbeil, Mount Lebanon",140000,Apartment,140,3,3
"Batroun, Batroun, North",1400000,Land,4700,N/A,N/A
"Batroun, Batroun, North",320000,Land,1063,N/A,N/A
"Adonis, Kesrouane, Mount Lebanon",170000,Apartment,200,3,2
"Bsalim, El Metn, Mount Lebanon",160000,Apartment,115,2,2
"Fidar, Jbeil, Mount Lebanon",345000,Apartment,200,3,3
"Kfarzebian, Kesrouane, Mount Lebanon",195000,Chalet,90,2,2
"Roumie, El Metn, Mount Lebanon",500000,Warehouse,1100,1,N/A
"Aannaya, Jbeil, Mount Lebanon",570000,Land,8111,N/A,N/A
"Ain Al Remmane, Baabda, Mount Lebanon",325000,Apartment,300,3,3
"Achkout, Kesrouane, Mount Lebanon",250000,Land,440,N/A,N/A
"Baabdat, El Metn, Mount Lebanon",450000,Apartment,200,3,3
"Aannaya, Jbeil, Mount Lebanon",100000,Apartment,200,3,3
"Bouar, Kesrouane, Mount Lebanon",150000,Apartment,130,2,2
