Address,Rent $/year,Type,Size m²,Bedrooms,Bathrooms
"Zalka, El Metn, Mount Lebanon",12000                        ,Apartment,170,3,3
"Qannabet Broumana, El Metn, Mount Lebanon",8700                        ,Apartment,160,3,2
"Ghazir, Kesrouane, Mount Lebanon",7200                        ,Office,150,2,N/A
"Jbeil, Jbeil, Mount Lebanon",7200                        ,Apartment,130,2,2
"Achrafieh, Beirut, Beirut",24000                        ,Shop,150,1,N/A
"Kaslik, Kesrouane, Mount Lebanon",42000                        ,Shop,400,N/A,N/A
"Kfarzebian, Kesrouane, Mount Lebanon",15000                        ,Apartment,110,2,2
"Jounieh, Kesrouane, Mount Lebanon",72000                        ,Shop,275,2,N/A
"Jounieh, Kesrouane, Mount Lebanon",75000                        ,Shop,350,2,N/A
"Achrafieh, Beirut, Beirut",24000                        ,Office,200,2,N/A
"Dbayeh, El Metn, Mount Lebanon",24000                        ,Apartment,180,2,3
"Dbayeh, El Metn, Mount Lebanon",45000                        ,Apartment,222,3,4
"Sahel Alma, Kesrouane, Mount Lebanon",18000                        ,Apartment,190,3,3
"Achrafieh, Beirut, Beirut",14400                        ,Shop,45,1,N/A
"Badaro, Beirut, Beirut",15600                        ,Office,70,1,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",24000                        ,Apartment,245,3,5
"Jbeil, Jbeil, Mount Lebanon",12000                        ,House/Villa,310,3,3
"Zaarour, El Metn, Mount Lebanon",5400                        ,Apartment,35,1,1
"Zaarour, El Metn, Mount Lebanon",12000                        ,Apartment,100,3,2
"Zaarour, El Metn, Mount Lebanon",10800                        ,Apartment,50,2,1
"Zaarour, El Metn, Mount Lebanon",8400                        ,Apartment,45,1,1
"Achrafieh, Beirut, Beirut",18000                        ,Office,160,2,2
"Tabarja, Kesrouane, Mount Lebanon",15000                        ,Chalet,70,1,1
"Batroun, Batroun, North",6000                        ,Apartment,60,1,N/A
"Batroun, Batroun, North",7200                        ,Apartment,130,2,2
"Achrafieh, Beirut, Beirut",8400                        ,Apartment,60,1,1
"Achrafieh, Beirut, Beirut",7200                        ,Apartment,40,1,N/A
"Achrafieh, Beirut, Beirut",6000                        ,Apartment,25,1,1
"kfarhbeib, Kesrouane, Mount Lebanon",14400                        ,Apartment,210,3,3
"Jal el Dib, El Metn, Mount Lebanon",6000                        ,Office,85,1,N/A
"Mkalles, El Metn, Mount Lebanon",24000                        ,Shop,480,N/A,N/A
"Achrafieh, Beirut, Beirut",7200                        ,Apartment,151,2,2
"Achrafieh, Beirut, Beirut",7200                        ,Apartment,151,2,2
"Achrafieh, Beirut, Beirut",10800                        ,Apartment,90,2,1
"Achrafieh, Beirut, Beirut",7800                        ,Apartment,45,1,1
"Achrafieh, Beirut, Beirut",9600                        ,Apartment,90,2,1
"Tabarja, Kesrouane, Mount Lebanon",8000                        ,Apartment,50,1,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",14400                        ,Apartment,220,4,4
"Down Town, Beirut, Beirut",50000                        ,Apartment,270,3,3
"Dekweneh, El Metn, Mount Lebanon",21000                        ,Office,127,3,N/A
"Achrafieh, Beirut, Beirut",9600                        ,Apartment,200,3,2
"Mansourieh, El Metn, Mount Lebanon",6300                        ,Apartment,135,1,4
"Monteverde, El Metn, Mount Lebanon",30000                        ,Apartment,275,3,4
"Rabieh, El Metn, Mount Lebanon",42000                        ,Apartment,500,4,4
"Badaro, Beirut, Beirut",26400                        ,Apartment,280,3,4
"kfarhbeib, Kesrouane, Mount Lebanon",7200                        ,Apartment,60,1,1
"Jbeil, Jbeil, Mount Lebanon",120000                        ,Shop,1200,N/A,N/A
"Sahel Alma, Kesrouane, Mount Lebanon",15600                        ,Apartment,250,4,4
"Achrafieh, Beirut, Beirut",120000                        ,Commercial Building,350,2,N/A
"Hboub, Jbeil, Mount Lebanon",12000                        ,Apartment,357,4,4
"Jal el Dib, El Metn, Mount Lebanon",8400                        ,Office,70,1,N/A
"Jal el Dib, El Metn, Mount Lebanon",30000                        ,Office,240,2,N/A
"Jal el Dib, El Metn, Mount Lebanon",60000                        ,Office,500,4,N/A
"Qartaboun, Jbeil, Mount Lebanon",4800                        ,Shop,75,1,N/A
"Dbayeh, El Metn, Mount Lebanon",24000                        ,Apartment,248,3,4
"Zalka, El Metn, Mount Lebanon",18000                        ,Office,75,2,N/A
"Jbeil, Jbeil, Mount Lebanon",5200                        ,Apartment,220,3,3
"Jbeil, Jbeil, Mount Lebanon",9000                        ,Apartment,65,2,2
"Mazraat Yachouh, El Metn, Mount Lebanon",12000                        ,Apartment,200,3,3
"Achrafieh, Beirut, Beirut",25000                        ,Apartment,190,3,3
"Tabarja, Kesrouane, Mount Lebanon",11000                        ,Chalet,68,2,2
"Tabarja, Kesrouane, Mount Lebanon",7500                        ,Chalet,38,1,1
"Tabarja, Kesrouane, Mount Lebanon",6600                        ,Chalet,38,1,N/A
"Tabarja, Kesrouane, Mount Lebanon",7400                        ,Chalet,54,1,N/A
"Tabarja, Kesrouane, Mount Lebanon",8200                        ,Chalet,49,1,1
"Tabarja, Kesrouane, Mount Lebanon",7400                        ,Chalet,37,1,N/A
"Jbeil, Jbeil, Mount Lebanon",6000                        ,Apartment,120,2,2
"Batroun, Batroun, North",20000                        ,Apartment,80,2,2
"Jbeil, Jbeil, Mount Lebanon",15000                        ,Shop,170,2,N/A
"Louaize, Baabda, Mount Lebanon",12000                        ,Office,120,1,N/A
"Achrafieh, Beirut, Beirut",26400                        ,Apartment,385,4,4
"Mansourieh, El Metn, Mount Lebanon",15600                        ,Apartment,240,2,4
"Mansourieh, El Metn, Mount Lebanon",14400                        ,Apartment,250,3,4
"Adma, Kesrouane, Mount Lebanon",12000                        ,Apartment,300,4,4
"Adma, Kesrouane, Mount Lebanon",14000                        ,Apartment,300,4,4
"Kaslik, Kesrouane, Mount Lebanon",16000                        ,Apartment,85,2,2
"Kaslik, Kesrouane, Mount Lebanon",13000                        ,Chalet,70,1,1
"Achrafieh, Beirut, Beirut",24000                        ,Apartment,240,3,3
"Achrafieh, Beirut, Beirut",30000                        ,Apartment,178,3,3
"Badaro, Beirut, Beirut",6000                        ,Office,50,1,N/A
"Achrafieh, Beirut, Beirut",12000                        ,Apartment,120,2,2
"Achrafieh, Beirut, Beirut",14400                        ,Apartment,150,3,2
"Jbeil, Jbeil, Mount Lebanon",4800                        ,Apartment,140,2,1
"Kornet Chehwan, El Metn, Mount Lebanon",24000                        ,Apartment,540,4,5
"Fiyadiye, Baabda, Mount Lebanon",12000                        ,Apartment,130,2,3
"Achrafieh, Beirut, Beirut",15600                        ,Apartment,115,2,2
