Address,Price,Type,Size,Bedrooms,Bathrooms
"Achrafieh, Beirut, Beirut","$1,100,000",Apartment,315 m²,3,4
"Beit El Kikko, El Metn, Mount Lebanon","$350,000",Apartment,255 m²,3,4
"Kfarzebian, Kesrouane, Mount Lebanon","$250,000",Apartment,110 m²,2,2
"Blat, Jbeil, Mount Lebanon","$135,000",Apartment,125 m²,2,4
"Blat, Jbeil, Mount Lebanon","$140,000",Land,825 m²,N/A,N/A
"Batroun, Batroun, North","$350,000",House/Villa,230 m²,N/A,N/A
"Ain Al Remmane, Baabda, Mount Lebanon","$295,000",Apartment,180 m²,2,2
"Broumana, El Metn, Mount Lebanon","$645,000",Land,"1,612 m²",N/A,N/A
"Broumana, El Metn, Mount Lebanon","$690,000",Land,"1,536 m²",N/A,N/A
"Tabarja, Kesrouane, Mount Lebanon","$37,000",Chalet,4 m²,N/A,N/A
"Lehfed, Jbeil, Mount Lebanon","$110,000",Land,"1,200 m²",N/A,N/A
"Sarba, Kesrouane, Mount Lebanon","$2,500,000",Land,986 m²,N/A,N/A
"Paris 16ème, Paris 16ème, France","€750,000",Apartment,51 m²,1,1
"Paris 16ème, Paris 16ème, France","€845,000",Apartment,71 m²,2,1
"Dbayeh, El Metn, Mount Lebanon","$230,000",Apartment,200 m²,3,3
"Qornet El Hamra, El Metn, Mount Lebanon","$169,000",Apartment,135 m²,3,3
"Qornet El Hamra, El Metn, Mount Lebanon","$108,000",Apartment,100 m²,2,2
"Tabarja, Kesrouane, Mount Lebanon","$550,000",Chalet,70 m²,1,1
"kfarhbeib, Kesrouane, Mount Lebanon","$340,000",Apartment,400 m²,5,3
"Kfarzebian, Kesrouane, Mount Lebanon","$1,000,000",Land,"3,616 m²",N/A,N/A
"Achrafieh, Beirut, Beirut","$320,000",Apartment,80 m²,1,2
"Batroun, Batroun, North","$1,250,000",House/Villa,700 m²,7,7
"Batroun, Batroun, North","$140,000",Apartment,185 m²,3,2
"Dekweneh, El Metn, Mount Lebanon","$450,000",Office,127 m²,3,N/A
"Achrafieh, Beirut, Beirut","$300,000",Apartment,200 m²,3,2
"Jbeil, Jbeil, Mount Lebanon","$175,000",Apartment,176 m²,3,3
"Jbeil, Jbeil, Mount Lebanon","$195,000",Apartment,145 m²,2,3
"Jbeil, Jbeil, Mount Lebanon","$270,000",Apartment,200 m²,3,2
"Furn El Chebbak, Baabda, Mount Lebanon","$260,000",Apartment,184 m²,3,3
"Paris 16ème, Paris 16ème, France","€499,000",Apartment,38 m²,1,N/A
"Paris 16ème, Paris 16ème, France","€480,000",Apartment,29 m²,1,N/A
"Paris 16ème, Paris 16ème, France","€420,000",Apartment,45 m²,1,1
"Beit El Kikko, El Metn, Mount Lebanon","$260,000",Apartment,165 m²,3,3
"kfarhbeib, Kesrouane, Mount Lebanon","$500,000",Apartment,360 m²,4,5
"Jbeil, Jbeil, Mount Lebanon","$220,000",Apartment,180 m²,3,4
"Jbeil, Jbeil, Mount Lebanon","$245,000",Apartment,180 m²,3,4
"Jbeil, Jbeil, Mount Lebanon","$245,000",Apartment,200 m²,3,4
"kfarhbeib, Kesrouane, Mount Lebanon","$275,000",Apartment,205 m²,4,3
"Hboub, Jbeil, Mount Lebanon","$90,000",Apartment,115 m²,3,3
"Monteverde, El Metn, Mount Lebanon","$770,000",Land,"1,400 m²",N/A,N/A
"Adma, Kesrouane, Mount Lebanon","$400,000",Apartment,155 m²,2,2
"Dbayeh, El Metn, Mount Lebanon","$200,000",Apartment,120 m²,2,2
"Mazraat Yachouh, El Metn, Mount Lebanon","$140,000",Apartment,170 m²,3,2
"Aannaya, Jbeil, Mount Lebanon","$900,000",House/Villa,450 m²,4,4
"Braij, Jbeil, Mount Lebanon","$900,000",Land,"3,300 m²",N/A,N/A
"Kfar Aabida, Batroun, North","$250,000",Land,919 m²,N/A,N/A
"Tabarja, Kesrouane, Mount Lebanon","$125,000",Chalet,37 m²,1,N/A
"Hazmieh, Baabda, Mount Lebanon","$100,000",Office,50 m²,1,N/A
"Furn El Chebbak, Baabda, Mount Lebanon","$230,000",Warehouse,200 m²,2,N/A
"Dbayeh, El Metn, Mount Lebanon","$187,000",Apartment,140 m²,2,2
"Ehmej, Jbeil, Mount Lebanon","$250,000",Land,"1,200 m²",N/A,N/A
