Address,Price,Type,Size,Bedrooms,Bathrooms
"Zalka, El Metn, Mount Lebanon","$12,000                         /Year",Apartment,170 m²,3,3
"Qannabet Broumana, El Metn, Mount Lebanon","$8,700                         /Year",Apartment,160 m²,3,2
"Ghazir, Kesrouane, Mount Lebanon","$7,200                         /Year",Office,150 m²,2,N/A
"Jbeil, Jbeil, Mount Lebanon","$7,200                         /Year",Apartment,130 m²,2,2
"Achrafieh, Beirut, Beirut","$24,000                         /Year",Shop,150 m²,1,N/A
"Kaslik, Kesrouane, Mount Lebanon","$42,000                         /Year",Shop,400 m²,N/A,N/A
"Kfarzebian, Kesrouane, Mount Lebanon","$15,000                         /Year",Apartment,110 m²,2,2
"Jounieh, Kesrouane, Mount Lebanon","$72,000                         /Year",Shop,275 m²,2,N/A
"Jounieh, Kesrouane, Mount Lebanon","$75,000                         /Year",Shop,350 m²,2,N/A
"Achrafieh, Beirut, Beirut","$24,000                         /Year",Office,200 m²,2,N/A
"Dbayeh, El Metn, Mount Lebanon","$24,000                         /Year",Apartment,180 m²,2,3
"Dbayeh, El Metn, Mount Lebanon","$45,000                         /Year",Apartment,222 m²,3,4
"Sahel Alma, Kesrouane, Mount Lebanon","$18,000                         /Year",Apartment,190 m²,3,3
"Achrafieh, Beirut, Beirut","$14,400                         /Year",Shop,45 m²,1,N/A
"Badaro, Beirut, Beirut","$15,600                         /Year",Office,70 m²,1,N/A
"kfarhbeib, Kesrouane, Mount Lebanon","$24,000                         /Year",Apartment,245 m²,3,5
"Jbeil, Jbeil, Mount Lebanon","$12,000                         /Year",House/Villa,310 m²,3,3
"Zaarour, El Metn, Mount Lebanon","$5,400                         /Year",Apartment,35 m²,1,1
"Zaarour, El Metn, Mount Lebanon","$12,000                         /Year",Apartment,100 m²,3,2
"Zaarour, El Metn, Mount Lebanon","$10,800                         /Year",Apartment,50 m²,2,1
"Zaarour, El Metn, Mount Lebanon","$8,400                         /Year",Apartment,45 m²,1,1
"Achrafieh, Beirut, Beirut","$18,000                         /Year",Office,160 m²,2,2
"Tabarja, Kesrouane, Mount Lebanon","$15,000                         /Year",Chalet,70 m²,1,1
"Batroun, Batroun, North","$6,000                         /Year",Apartment,60 m²,1,N/A
"Batroun, Batroun, North","$7,200                         /Year",Apartment,130 m²,2,2
"Achrafieh, Beirut, Beirut","$8,400                         /Year",Apartment,60 m²,1,1
"Achrafieh, Beirut, Beirut","$7,200                         /Year",Apartment,40 m²,1,N/A
"Achrafieh, Beirut, Beirut","$6,000                         /Year",Apartment,25 m²,1,1
"kfarhbeib, Kesrouane, Mount Lebanon","$14,400                         /Year",Apartment,210 m²,3,3
"Jal el Dib, El Metn, Mount Lebanon","$6,000                         /Year",Office,85 m²,1,N/A
"Mkalles, El Metn, Mount Lebanon","$24,000                         /Year",Shop,480 m²,N/A,N/A
"Achrafieh, Beirut, Beirut","$7,200                         /Year",Apartment,151 m²,2,2
"Achrafieh, Beirut, Beirut","$7,200                         /Year",Apartment,151 m²,2,2
"Achrafieh, Beirut, Beirut","$10,800                         /Year",Apartment,90 m²,2,1
"Achrafieh, Beirut, Beirut","$7,800                         /Year",Apartment,45 m²,1,1
"Achrafieh, Beirut, Beirut","$9,600                         /Year",Apartment,90 m²,2,1
"Tabarja, Kesrouane, Mount Lebanon","$8,000                         /Year",Apartment,50 m²,1,N/A
"kfarhbeib, Kesrouane, Mount Lebanon","$14,400                         /Year",Apartment,220 m²,4,4
"Down Town, Beirut, Beirut","$50,000                         /Year",Apartment,270 m²,3,3
"Dekweneh, El Metn, Mount Lebanon","$21,000                         /Year",Office,127 m²,3,N/A
"Achrafieh, Beirut, Beirut","$9,600                         /Year",Apartment,200 m²,3,2
"Mansourieh, El Metn, Mount Lebanon","$6,300                         /Year",Apartment,135 m²,1,4
"Monteverde, El Metn, Mount Lebanon","$30,000                         /Year",Apartment,275 m²,3,4
