District,Avg Price $,Median Price $,Max Price $,Min Price $,Listings Count,Latitude,Longitude
Akkar,350000,350000,350000,350000,1,34.5394,36.078
Aley,582531,192499,11000000,67000,64,33.8056,35.5978
Baabda,689538,499999,9000000,52000,607,33.8333,35.5442
Batroun,628490,225000,31000000,54999,202,34.2556,35.6586
Beirut,1005602,650000,25500000,70000,1567,33.8886,35.4955
Chouf,312328,275000,666300,60000,7,33.6947,35.5792
El Metn,583411,345000,15000000,600,2897,33.9006,35.6178
Hasbaya,69500,69500,69500,69500,1,33.3979,35.6852
Jbeil,468181,195000,16000000,26000,931,34.1236,35.6455
Koura,267399,112500,2200000,83000,40,34.3294,35.7931
Zahle,1050000,430000,2500000,220000,3,33.8461,35.9042
Zgharta,990000,990000,990000,990000,1,34.3314,35.8958
