City,District,Province,Type,Size m²,Bedrooms,Bathrooms,Price $
Achrafieh,Beirut,Beirut,Apartment,315,3,4,1100000
Beit El Kikko,El Metn,Mount Lebanon,Apartment,255,3,4,350000
Kfarzebian,Kesrouane,Mount Lebanon,Apartment,110,2,2,250000
Blat,Jbeil,Mount Lebanon,Apartment,125,2,4,135000
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,180,2,2,295000
Dbayeh,El Metn,Mount Lebanon,Apartment,200,3,3,230000
Qornet El Hamra,El Metn,Mount Lebanon,Apartment,135,3,3,169000
Qornet El Hamra,El Metn,Mount Lebanon,Apartment,100,2,2,108000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,400,5,3,340000
Achrafieh,Beirut,Beirut,Apartment,80,1,2,320000
Batroun,Batroun,North,Apartment,185,3,2,140000
Achrafieh,Beirut,Beirut,Apartment,200,3,2,300000
Jbeil,Jbeil,Mount Lebanon,Apartment,176,3,3,175000
Jbeil,Jbeil,Mount Lebanon,Apartment,145,2,3,195000
Jbeil,Jbeil,Mount Lebanon,Apartment,200,3,2,270000
Furn El Chebbak,Baabda,Mount Lebanon,Apartment,184,3,3,260000
Beit El Kikko,El Metn,Mount Lebanon,Apartment,165,3,3,260000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,360,4,5,500000
Jbeil,Jbeil,Mount Lebanon,Apartment,180,3,4,220000
Jbeil,Jbeil,Mount Lebanon,Apartment,180,3,4,245000
Jbeil,Jbeil,Mount Lebanon,Apartment,200,3,4,245000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,205,4,3,275000
Hboub,Jbeil,Mount Lebanon,Apartment,115,3,3,90000
Adma,Kesrouane,Mount Lebanon,Apartment,155,2,2,400000
Dbayeh,El Metn,Mount Lebanon,Apartment,120,2,2,200000
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,170,3,2,140000
Dbayeh,El Metn,Mount Lebanon,Apartment,140,2,2,187000
Ballouneh,Kesrouane,Mount Lebanon,Apartment,180,3,4,185000
Mansourieh,El Metn,Mount Lebanon,Apartment,240,3,4,270000
Achrafieh,Beirut,Beirut,Apartment,280,3,4,1050000
Halat,Jbeil,Mount Lebanon,Apartment,140,3,3,140000
Adonis,Kesrouane,Mount Lebanon,Apartment,200,3,2,170000
Bsalim,El Metn,Mount Lebanon,Apartment,115,2,2,160000
Fidar,Jbeil,Mount Lebanon,Apartment,200,3,3,345000
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,300,3,3,325000
Baabdat,El Metn,Mount Lebanon,Apartment,200,3,3,450000
Aannaya,Jbeil,Mount Lebanon,Apartment,200,3,3,100000
Bouar,Kesrouane,Mount Lebanon,Apartment,130,2,2,150000
Edde,Jbeil,Mount Lebanon,Apartment,125,2,2,125000
Achrafieh,Beirut,Beirut,Apartment,200,2,2,400000
Monteverde,El Metn,Mount Lebanon,Apartment,200,3,3,350000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,250,4,3,400000
Rabweh,El Metn,Mount Lebanon,Apartment,190,3,3,370000
Rabweh,El Metn,Mount Lebanon,Apartment,200,3,3,310000
Aamchit,Jbeil,Mount Lebanon,Apartment,111,2,2,110000
Naccache,El Metn,Mount Lebanon,Apartment,145,3,3,230000
Ras Beirut,Beirut,Beirut,Apartment,400,3,3,1250000
Baabda,Baabda,Mount Lebanon,Apartment,255,3,4,295000
Badaro,Beirut,Beirut,Apartment,200,3,2,600000
Jbeil,Jbeil,Mount Lebanon,Apartment,166,2,2,120000
Jbeil,Jbeil,Mount Lebanon,Apartment,240,4,4,150000
Hboub,Jbeil,Mount Lebanon,Apartment,125,2,2,115000
